idx;image_url;standing;standing_confiance;etat;etat_confiance;a_valider
0;https://www.mubawab-media.com/ad/8/287/597F/h/thumb_1241042_property_xlarge_81797002.avif;3;0.343;1;0.52;1
1;https://www.mubawab-media.com/ad/8/289/750F/h/thumb_1263408_property_large_81819534.avif;3;0.34;1;0.514;1
2;https://www.mubawab-media.com/ad/8/130/909F/h/thumb_1075644_property_xlarge_80156444.avif;2;0.335;1;0.517;1
3;https://www.mubawab-media.com/ad/8/299/123F/h/7_81924110.avif;2;0.337;1;0.517;1
4;https://www.mubawab-media.com/ad/8/288/371F/h/thumb_1240804_property_large_81805257.avif;3;0.343;1;0.514;1
5;https://www.bnb.tn/wp-content/uploads/2023/12/thumb_361052_property_xlarge-1-300x300.jpeg;3;0.339;1;0.517;1
7;https://www.mubawab-media.com/ad/8/301/994F/h/WhatsApp%20Image%202026-02-11%20at%2018.26.20_81953007.avif;3;0.334;1;0.513;1
8;https://www.mubawab-media.com/ad/8/270/211F/h/thumb_1224737_property_large_81610850.avif;3;0.345;1;0.523;1
9;https://www.mubawab-media.com/ad/8/067/009F/h/thumb_984385_property_large_79526777.avif;2;0.335;1;0.517;1
10;https://www.mubawab-media.com/ad/8/259/084F/h/h9BAvAis8dt6hXzR-thumb_81478518.avif;3;0.338;1;0.514;1
11;https://www.mubawab-media.com/ad/8/292/421F/h/thumb_721292_property_xlarge_81847447.avif;3;0.337;1;0.517;1
14;https://www.mubawab-media.com/ad/8/235/551F/h/thumb_1170105_property_large_81237031.avif;2;0.34;0;0.513;1
15;https://www.mubawab-media.com/ad/8/022/590F/h/thumb_933628_property_large_79087344.avif;3;0.336;1;0.509;1
16;https://www.bnb.tn/wp-content/uploads/2022/11/IMG_3627-300x300.jpg;2;0.337;1;0.508;1
17;https://www.mubawab-media.com/ad/8/302/796F/h/thumb_1277502_property_large_81961447.avif;3;0.343;1;0.521;1
18;https://www.bnb.tn/wp-content/uploads/2023/12/thumb_573070_property_xlarge-300x300.jpeg;3;0.335;1;0.514;1
19;https://www.mubawab-media.com/ad/8/272/586F/h/thumb_1227806_property_large_81635970.avif;3;0.343;1;0.514;1
21;https://www.mubawab-media.com/ad/8/258/214F/h/IMG-20251125-WA0009_81469053.avif;3;0.338;1;0.512;1
22;https://www.mubawab-media.com/ad/8/133/871F/h/20190530_145920_80187458.avif;3;0.335;1;0.505;1
23;https://www.mubawab-media.com/ad/8/037/555F/h/Picture-85314803-14_79234703.avif;3;0.335;1;0.509;1
24;https://www.mubawab-media.com/ad/8/043/906F/h/WhatsApp%20Image%202024-11-26%20at%2011.11.29%20%281%29_79296483.avif;3;0.344;1;0.516;1
25;https://www.mubawab-media.com/ad/8/285/069F/h/thumb_1195965_property_xlarge_81770644.avif;3;0.338;1;0.519;1
26;https://www.mubawab-media.com/ad/8/248/383F/h/thumb_1190836_property_large_81368040.avif;2;0.338;0;0.509;1
27;https://www.bnb.tn/wp-content/uploads/2023/03/IMG_4954-300x300.jpg;3;0.344;1;0.519;1
28;https://www.mubawab-media.com/ad/8/270/621F/h/thumb_1225160_property_large_81615458.avif;3;0.334;1;0.517;1
29;https://www.mubawab-media.com/ad/8/257/424F/h/thumb_656924_property_large_81460956.avif;2;0.34;1;0.515;1
30;https://www.mubawab-media.com/ad/8/231/061F/h/thumb_985279_property_xlarge_81191138.avif;2;0.337;1;0.512;1
32;https://www.bnb.tn/wp-content/uploads/2025/06/thumb_1113370_property_xlarge-300x300.jpeg;3;0.346;1;0.521;1
33;https://www.mubawab-media.com/ad/8/263/384F/h/3ed1b5de-32d7-4e66-87c3-f5a0cfc907b9_GF_81532465.avif;2;0.334;1;0.516;1
35;https://www.bnb.tn/wp-content/uploads/2023/02/telechargement-29-1-300x300.jpg;3;0.345;1;0.513;1
36;https://www.mubawab-media.com/ad/8/242/833F/h/a794da51-f73d-4a7f-8da0-dcb292fbfb14_81310365.avif;2;0.334;1;0.517;1
37;https://www.mubawab-media.com/ad/7/889/048F/h/WhatsApp%20Image%202024-03-29%20%C3%A0%2011.21.58_1ccb1b1a_71602456.avif;2;0.335;1;0.511;1
38;https://www.mubawab-media.com/ad/7/908/158F/h/thumb_833078_property_xlarge_76166913.avif;2;0.338;1;0.514;1
39;https://www.mubawab-media.com/ad/8/265/653F/h/thumb_1219639_property_large_81559409.avif;2;0.334;1;0.521;1
40;https://www.mubawab-media.com/ad/7/671/891F/h/IMG_3412_78582071.avif;3;0.341;1;0.521;1
41;https://www.mubawab-media.com/ad/8/213/976F/h/1000068204_81005394.avif;2;0.335;1;0.509;1
43;https://www.mubawab-media.com/ad/8/197/607F/h/thumb_1119204_property_xlarge_80838599.avif;3;0.337;1;0.509;1
44;https://www.mubawab-media.com/ad/8/227/783F/h/8aca237c-ef1d-4b5f-89aa-4cc43c66a8d1_81153334.avif;1;0.335;0;0.509;1
45;https://www.mubawab-media.com/ad/8/150/621F/h/WhatsApp%20Image%202025-05-05%20at%2010.47.08_80353296.avif;2;0.336;1;0.513;1
46;https://www.bnb.tn/wp-content/uploads/2022/06/thumb_383278_property_xlarge-300x300.jpeg;3;0.336;1;0.508;1
47;https://www.mubawab-media.com/ad/8/275/618F/h/photo_00_81667293.avif;3;0.339;1;0.515;1
48;https://www.mubawab-media.com/ad/8/190/196F/h/1885459f-1d51-4bea-a670-581303395448_80765504.avif;3;0.342;1;0.515;1
50;https://www.mubawab-media.com/ad/8/031/073F/h/IMG_20250625_165622_80765888.avif;2;0.337;1;0.515;1
51;https://www.bnb.tn/wp-content/uploads/2021/06/IMG_4642-300x300.jpg;3;0.349;1;0.523;1
52;https://www.mubawab-media.com/ad/8/246/368F/h/thumb_1198140_property_xlarge_81348878.avif;3;0.337;1;0.519;1
53;https://www.mubawab-media.com/ad/8/255/688F/h/IMG_1202_81443788.avif;2;0.334;1;0.514;1
54;https://www.bnb.tn/wp-content/uploads/2025/05/1-56-300x300.jpg;1;0.34;0;0.504;1
55;https://www.mubawab-media.com/ad/7/933/384F/h/436515318_1955292778235123_2029839016863642632_n_76702816.avif;3;0.344;1;0.508;1
