description,image,localisation,meta_Garages,meta_Lits,meta_Salles de bain,meta_Surface,prix,prix_montant,slug,titre,url
La Croisette Immobilière Tunisie vous propose à la location un appartement en S+3 richement meublé occupant le troisième étage d’une petite résidence située à la Marsa. Ce dernier est composé d’un grand salon donnant sur…,https://www.bnb.tn/wp-content/uploads/2026/02/1-35-300x300.jpg,Location à La Marsa,,,2,,"4,800 TND",4800,appartement-s3-meuble-a-la-marsa-mal0033,Appartement S3 meublé à La Marsa MAL0033,https://www.bnb.tn/properties/appartement-s3-meuble-a-la-marsa-mal0033/
"La Croisette Immobilière Tunisie vous propose à la location un appartement S+3 meublé occupant le deuxième étage d’une résidence située à La Marsa. Ce dernier est composé d’un grand salon salle-à-manger, d’une cuisine aménagée et…",https://www.bnb.tn/wp-content/uploads/2026/02/1-27-300x300.jpeg,Location à La Marsa,,,2,,"3,500 TND",3500,appartement-s3-meuble-avec-piscine-a-la-marsa-zal0490,Appartement S3 meublé avec piscine à La Marsa ZAL0490,https://www.bnb.tn/properties/appartement-s3-meuble-avec-piscine-a-la-marsa-zal0490/
"La Croisette Immobilière Tunisie vous propose à la location un appartement S+2 meublé occupant le première étage d’une résidence gardée à La Marsa. Ce dernier se compose d’un salon donnant sur un balcon, d’une cuisine…",https://www.bnb.tn/wp-content/uploads/2026/02/1-39-300x300.jpeg,Location à La Marsa,,,2,118,"2,500 TND",2500,appartement-s2-meuble-a-la-marsa-zal2042,Appartement S2 meublé à La Marsa ZAL2042,https://www.bnb.tn/properties/appartement-s2-meuble-a-la-marsa-zal2042/
"La Croisette Immobilière Tunisie vous propose à la location un appartement S+1 meublé occupant le premier étage d’une résidence gardée à Ain Zaghouan Nord. Ce dernier est composé d’un salon , d’une cuisine aménagée et…",https://www.bnb.tn/wp-content/uploads/2026/02/1-25-300x300.jpg,Location à Ain Zaghouan,,,1,,"1,500 TND",1500,appartement-s1-meuble-a-ain-zaghouan-nord-mal3980-2,Appartement S1 meublé à Ain Zaghouan Nord MAL3980,https://www.bnb.tn/properties/appartement-s1-meuble-a-ain-zaghouan-nord-mal3980-2/
"La croisette immobilière Tunisie vous propose à la location un appartement S+2 occupant le deuxième et dernier étage d’une résidence gardée à La Marsa. Ce dernier est composé d’un salon, d’une cuisine aménagée et équipée…",https://www.bnb.tn/wp-content/uploads/2026/02/1-37-300x300.jpeg,Location à La Marsa,,,1,,"2,200 TND",2200,appartement-s2-a-la-marsa-mal1388-2,Appartement S2 à La Marsa MAL1388,https://www.bnb.tn/properties/appartement-s2-a-la-marsa-mal1388-2/
"location d’un bureau ou d’un cabinet médical initialement détenu par un médecin généraliste, complètement neuf de très haut standing au sein du centre médical kantaoui, en premier étage avec ascenseur. il dispose d’un accueil avec…",https://www.bnb.tn/wp-content/uploads/2022/01/2-58.jpg,Location à Hammam Sousse,,,,40,"1,250 TND",1250,bureau-ou-cabinet-medical-a-kantaoui-medical-center,Bureau ou Cabinet médical à Kantaoui Medical Center,https://www.bnb.tn/properties/bureau-ou-cabinet-medical-a-kantaoui-medical-center/
"a louer un cabinet médical dans l’immeuble lona, près de l’hôpital farhat hached, au premier étage , composé d’un salon , 1 chambre , 1kitchenette et 1 salle d’eau. vidéo sur demande",https://www.bnb.tn/wp-content/uploads/2025/11/IMG_20250209_174458-300x300.jpg,Location à Sousse,,,,46,950 TND,950,bureau-ou-cabinet-medical-pres-de-hopital-farhat-hached,Bureau ou Cabinet médical prés de hopital farhat hached,https://www.bnb.tn/properties/bureau-ou-cabinet-medical-pres-de-hopital-farhat-hached/
"a louer un studio meublé s+1 , prés de lycée technique msaken et de la steg, au 2ème étage composé d’u salon , une chambre à coucher, une cuisine, une salle de bain et un…",https://www.bnb.tn/wp-content/uploads/2022/01/2-58.jpg,Location à Sousse,,1,1,70,310 TND,310,studio-s1,Studio S+1,https://www.bnb.tn/properties/studio-s1/
À vendre chez Green Immobilier une demeure bien située à Hammamet Elle s’étend sur un terrain de 300 m² avec une superficie habitable de 737 m². elle offre: -un salon salle a manger -une cuisine…,https://www.bnb.tn/wp-content/uploads/2026/01/thumb_1263542_property_xlarge-300x300.jpeg,Vente à Hammamet,,,4,,,,villa-saint-sebastien,Villa Saint Sébastien,https://www.bnb.tn/properties/villa-saint-sebastien/
"À vendre : Studio S+1 au centre ville de Kélibia: À vendre, un studio S+1 situé au rez-de-chaussée, d’une superficie de 25 m², avec une terrasse à l’étage de 40 m² donnant directement sur104 Avenue…",https://www.bnb.tn/wp-content/uploads/2022/01/2-58.jpg,Vente à Nabeul,,,,40,"70,000 TND",70000,s1-convient-bureau-ou-boutique,S+1 convient Bureau ou Boutique,https://www.bnb.tn/properties/s1-convient-bureau-ou-boutique/
L’agence immobilière Good Life vous propose à la location un appartement S+2 meublé situé à La Marsa Plage. Composition : – Un salon – Une terrasse – Une cuisine bien équipée – Une salle de…,https://www.bnb.tn/wp-content/uploads/2026/02/1-34-300x300.jpg,Location à La Marsa,1,3,1,108,"2,600 TND",2600,s2-meuble-a-la-marsa-plage-good-life,S+2 Meublé à la Marsa Plage,https://www.bnb.tn/properties/s2-meuble-a-la-marsa-plage-good-life/
L’agence immobilière Good Life vous propose à la location un appartement S+2 neuf et entièrement meublé situé aux Jardins de Carthage. Composition : – Un salon lumineux avec balcon – Une cuisine entièrement équipée (plaque…,https://www.bnb.tn/wp-content/uploads/2026/02/1-33-300x300.jpg,Location à Jardins de Carthage,1,2,1,120,"4,000 TND",4000,s2-neuf-meuble-aux-jardins-de-carthage,S+2 Neuf Meublé aux Jardins de Carthage,https://www.bnb.tn/properties/s2-neuf-meuble-aux-jardins-de-carthage/
"L’agence immobilière Good Life vous propose un appartement moderne, situé dans une résidence R+5 récente à Ain Zaghouan sud. Composition : – Salon lumineux avec balcon – Cuisine semi-ouverte équipée (plaque, hotte, four, lave-vaisselle) –…",https://www.bnb.tn/wp-content/uploads/2026/02/1-32-300x300.jpg,Location à Ain Zaghouan,1,,2,125,"3,500 TND",3500,s2-neuf-sur-la-route-de-la-marsa,S+2 Neuf sur la route de la Marsa,https://www.bnb.tn/properties/s2-neuf-sur-la-route-de-la-marsa/
