gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,prix,image_url
23,0.8148,36.8769,10.3247,150.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.2888,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,2500.0,https://www.mubawab-media.com/ad/8/305/602F/h/IMG_4920_81988746.avif
23,0.8148,36.8769,10.3247,110.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3273,4,0,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,2800.0,https://www.mubawab-media.com/ad/8/097/505F/h/image_1_79822021.avif
23,0.8148,36.8769,10.3247,250.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.3399,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3500.0,https://www.mubawab-media.com/ad/8/300/216F/h/thumb_1274606_property_large_81934757.avif
23,0.8148,36.8769,10.3247,110.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3435,4,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,4500.0,https://www.mubawab-media.com/ad/8/296/986F/h/thumb_1270854_property_large_81898988.avif
23,0.7037,36.819,10.1658,156.0,2.0,2.0,0.5,0.5524,2.0,2562.03,0.3662,4,0,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,2400.0,https://www.mubawab-media.com/ad/8/292/243F/h/thumb_1266601_property_xlarge_81850309.avif
23,0.8148,36.8769,10.3247,260.0,3.0,3.0,0.5,0.8015,2.0,2562.03,0.3545,4,0,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,5000.0,https://www.mubawab-media.com/ad/8/290/425F/h/thumb_1262695_property_xlarge_81826789.avif
1,0.3704,36.899,10.2358,44.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.3192,4,0,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,1150.0,https://www.mubawab-media.com/ad/8/253/718F/h/BANQUE%20%281%29_44943652_81423265.avif
23,0.8148,36.8769,10.3247,110.0,4.0,4.0,0.5,0.8015,2.0,2562.03,0.3194,4,0,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,2700.0,https://www.mubawab-media.com/ad/8/305/033F/h/thumb_1280261_property_large_81982994.avif
23,0.8148,36.8769,10.3247,94.0,2.0,1.0,0.5,0.8015,2.0,2562.03,0.2852,4,0,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,1500.0,https://www.mubawab-media.com/ad/8/286/899F/h/thumb_1167378_property_xlarge_81789786.avif
1,0.3704,36.899,10.2358,65.0,2.0,1.0,0.5,0.4235,2.0,43985.0,0.3144,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,1300.0,https://www.mubawab-media.com/ad/8/302/422F/h/WhatsApp%20Image%202026-02-11%20at%2009.15.58_81957423.avif
23,0.7037,36.819,10.1658,110.0,3.0,1.0,0.5,0.5524,2.0,2562.03,0.3431,4,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1850.0,https://www.mubawab-media.com/ad/8/301/123F/h/thumb_1275151_property_xlarge_81944022.avif
23,0.7037,36.819,10.1658,90.0,2.0,1.0,0.5,0.5524,2.0,2562.03,0.3391,4,0,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,1800.0,https://www.mubawab-media.com/ad/8/288/659F/h/1_81808183.avif
23,0.8148,36.8769,10.3247,110.0,5.0,4.0,0.5,0.8015,2.0,2562.03,0.3502,4,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,5250.0,https://www.mubawab-media.com/ad/8/285/030F/h/image_1_81770333.avif
23,0.8148,36.8769,10.3247,220.0,5.0,4.0,0.5,0.8015,2.0,2562.03,0.3541,4,0,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,4200.0,https://www.mubawab-media.com/ad/8/231/703F/h/5e98b29d-5e64-468c-b943-b60edd772fab_81197770.avif
23,0.8148,36.8769,10.3247,200.0,3.0,2.0,0.5,0.8015,2.0,2562.03,0.338,4,0,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,5500.0,https://www.mubawab-media.com/ad/8/302/081F/h/d0561b16-9306-42cb-b89b-e1086e55b839_81954007.avif
23,0.7037,36.819,10.1658,160.0,5.0,3.0,0.5,0.5524,2.0,2562.03,0.3379,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,3000.0,https://www.mubawab-media.com/ad/8/298/593F/h/WhatsApp%20Image%202026-02-06%20at%2010.11.38%20AM%20%2810%29_81918534.avif
23,0.7037,36.819,10.1658,172.0,4.0,3.0,0.5,0.5524,2.0,2562.03,0.3367,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,3000.0,https://www.mubawab-media.com/ad/8/301/397F/h/WhatsApp%20Image%202026-02-10%20at%202.41.31%20PM_81946814.avif
23,0.7037,36.819,10.1658,140.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.3379,4,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,1800.0,https://www.mubawab-media.com/ad/8/302/766F/h/9658c1bb-f0e5-4ec5-b9cc-1c554804b210_81961129.avif
23,0.7037,36.819,10.1658,132.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.3367,4,0,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,2300.0,https://www.mubawab-media.com/ad/8/297/571F/h/e8fc5545-bfe2-4501-9c34-0498fadd5b1b_81905136.avif
23,0.8148,36.8769,10.3247,120.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.2746,4,0,0,0,1,0,0,1,0,1,1,1,0,0,0,1,0,0,2000.0,https://www.mubawab-media.com/ad/8/069/885F/h/1000055271_79554295.avif
23,0.8148,36.8769,10.3247,180.0,5.0,4.0,0.5,0.8015,2.0,2562.03,0.3261,4,0,1,0,1,0,0,1,0,1,1,1,0,0,1,1,0,0,3800.0,https://www.mubawab-media.com/ad/8/232/721F/h/thumb_1276775_property_xlarge_81961186.avif
23,0.8148,36.8769,10.3247,300.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3391,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,6000.0,https://www.mubawab-media.com/ad/8/305/650F/h/thumb_1280492_property_large_81989370.avif
