gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,prix,image_url
1,0.3533,36.899,10.2358,125.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3104,4,0,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,475000.0,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif
1,0.3533,36.899,10.2358,214.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3156,4,0,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,635000.0,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif
1,0.3533,36.899,10.2358,104.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.2746,4,0,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,530000.0,https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015631_property_xlarge_79786133.avif
3,0.2227,36.8,10.1,116.0,3.0,2.0,0.5,0.274,2.0,110184.0,0.3297,4,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,287000.0,https://www.mubawab-media.com/ad/7/928/114F/h/DSC_6827-HDR_21207779_76256906.avif
3,0.32,36.8,10.1,129.0,4.0,3.0,0.5,0.2195,2.0,110184.0,0.3188,4,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,407000.0,https://www.mubawab-media.com/ad/8/111/784F/h/02%20%281%29_79962345_79962352.avif
23,0.1733,36.819,10.1658,70.0,2.0,2.0,0.5,0.6863,2.0,2562.03,0.2738,4,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,160000.0,https://www.mubawab-media.com/ad/8/293/596F/h/Salon_81859863.avif
23,0.4,36.819,10.2358,115.0,3.0,2.0,0.5,0.517,2.0,43985.0,0.3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,240000.0,nan
20,0.3067,36.8,10.1,167.0,4.0,3.0,0.5,0.3807,2.0,110184.0,0.3545,4,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,447000.0,https://www.mubawab-media.com/ad/8/230/106F/h/photo_01_81181225.avif
23,0.6867,36.819,10.1658,120.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,4,0,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,420000.0,https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885559.avif
23,0.6867,36.819,10.1658,175.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,4,0,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,940000.0,https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869506.avif
23,0.6867,36.819,10.1658,158.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,675000.0,https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869974.avif
