prix,type_transaction,type_bien,gouvernorat,ville,surface_m2,nb_pieces,nb_chambres,nb_images,image_url,source,has_double_vitrage,has_climatisation,has_jardin,has_securite,has_cuisine_equip,has_meuble,has_porte_blindee,has_piscine,has_terrasse,has_vue_mer,has_neuf,has_vue_montagne,has_ascenseur,has_chauffage,has_cheminee,has_concierge,has_standing,has_garage,gouvernorat_enc,type_bien_enc,source_enc
475000.0,0,Appartement,Ariana,La Soukra,125.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
635000.0,0,Appartement,Ariana,La Soukra,214.0,4.0,3.0,4,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif,mubawab,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0
530000.0,0,Appartement,Ariana,La Soukra,104.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015631_property_xlarge_79786133.avif,mubawab,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0
287000.0,0,Appartement,Ben Arous,Ezzahra,116.0,3.0,2.0,4,https://www.mubawab-media.com/ad/7/928/114F/h/DSC_6827-HDR_21207779_76256906.avif,mubawab,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,3,1,0
407000.0,0,Appartement,Ben Arous,Boumhel Bassatine,129.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/111/784F/h/02%20%281%29_79962345_79962352.avif,mubawab,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0
160000.0,0,Appartement,Tunis,Tunis,70.0,2.0,2.0,4,https://www.mubawab-media.com/ad/8/293/596F/h/Salon_81859863.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,23,1,0
240000.0,0,Appartement,Tunis,La Marsa,115.0,3.0,2.0,4,,mubawab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
447000.0,0,Appartement,Sousse,Sahloul,167.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/230/106F/h/photo_01_81181225.avif,mubawab,1,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,1,20,1,0
420000.0,0,Appartement,Tunis,Le Kram,120.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885559.avif,mubawab,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,23,1,0
940000.0,0,Appartement,Tunis,Le Kram,175.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869506.avif,mubawab,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,23,1,0
675000.0,0,Appartement,Tunis,Le Kram,158.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869974.avif,mubawab,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,23,1,0
686653.0,0,Appartement,Ariana,La Soukra,106.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462034.avif,mubawab,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,1,0
367000.0,0,Appartement,Ariana,La Soukra,109.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/180/401F/h/e4ee229c-3ddd-4485-99e4-4f5d8869b7af_6636d6a0-d58f-432a-aed7-42aced5760e6_80666392.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
430000.0,0,Appartement,Ariana,La Soukra,136.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/192/096F/h/e0a1c722-ed89-4176-989e-3a449d759690_81976609.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
1300000.0,0,Appartement,Tunis,La Marsa,243.0,2.0,2.0,2,https://www.mubawab-media.com/ad/8/167/195F/h/thumb_1019275_property_large_80531986.avif,mubawab,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,23,1,0
1200000.0,0,Appartement,Tunis,La Marsa,297.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif,mubawab,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,23,1,0
395000.0,0,Appartement,Ariana,La Soukra,110.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
345000.0,0,Appartement,Ariana,La Soukra,100.0,2.0,1.0,4,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif,mubawab,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,1,1,0
306000.0,0,Appartement,Tunis,Le Kram,52.0,3.0,1.0,4,https://www.mubawab-media.com/ad/7/907/095F/h/Capture%20d%27%C3%A9cran%202025-12-19%20104524_81739768.avif,mubawab,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,23,1,0
312000.0,0,Appartement,Ariana,La Soukra,79.0,2.0,1.0,4,https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279280_property_xlarge_81979983.avif,mubawab,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
450000.0,0,Appartement,Nabeul,Hammamet,75.0,5.0,2.0,4,https://www.mubawab-media.com/ad/8/290/307F/h/2_81825534.avif,mubawab,0,1,0,1,1,0,1,0,1,0,0,0,0,1,0,1,0,0,16,1,0
199097.0,0,Appartement,Ariana,Raoued,53.0,2.0,1.0,4,https://www.mubawab-media.com/ad/8/304/709F/h/salon%2002_81979948_81979964.avif,mubawab,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0
6300000.0,0,Appartement,Sousse,Sousse Ville,1005.0,3.0,3.0,2,https://www.mubawab-media.com/ad/8/304/608F/h/WhatsApp%20Image%202026-02-06%20at%2018.34.33_81979107.avif,mubawab,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,20,1,0
145000.0,0,Appartement,Ariana,Raoued,90.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/304/676F/h/WhatsApp%20Image%202026-02-17%20at%2007.11.39%20%281%29_81979674.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
650000.0,0,Appartement,Tunis,Le Kram,153.0,3.0,4.0,4,https://www.mubawab-media.com/ad/8/304/579F/h/photo_00_81978854.avif,mubawab,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,23,1,0
248841.0,0,Appartement,Kairouan,Kairouan Ville,105.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/255/546F/h/WhatsApp%20Image%202025-11-22%20%C3%A0%2013.42.29_81a4a372_81461045.avif,mubawab,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
460000.0,0,Appartement,Ariana,La Soukra,116.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/271/996F/h/salon_81629754.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
850000.0,0,Appartement,Ariana,La Soukra,190.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/238/717F/h/jardin_81269437.avif,mubawab,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0
296000.0,0,Appartement,Ariana,La Soukra,68.0,2.0,1.0,4,https://www.mubawab-media.com/ad/8/254/095F/h/thumb_1208457_property_xlarge_81427437.avif,mubawab,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
475000.0,0,Appartement,Ariana,La Soukra,125.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
635000.0,0,Appartement,Ariana,La Soukra,214.0,4.0,3.0,4,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif,mubawab,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0
329000.0,0,Appartement,Ben Arous,Boumhel Bassatine,104.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/111/785F/h/01%20%281%29_79962344_79962354.avif,mubawab,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0
635000.0,0,Appartement,Tunis,Le Kram,115.0,3.0,2.0,4,,mubawab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
390000.0,0,Appartement,Tunis,La Marsa,68.0,2.0,1.0,4,https://www.mubawab-media.com/ad/7/903/086F/h/VUE%206_44687753_73907088.avif,mubawab,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,0,23,1,0
584517.0,0,Appartement,Ariana,La Soukra,104.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/257/523F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462126.avif,mubawab,1,1,1,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0
1200000.0,0,Appartement,Tunis,La Marsa,297.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif,mubawab,0,1,0,0,1,0,1,0,1,1,0,0,1,1,0,1,0,1,23,1,0
395000.0,0,Appartement,Ariana,La Soukra,110.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif,mubawab,1,1,0,1,1,0,1,0,1,0,0,0,1,1,0,1,0,1,1,1,0
345000.0,0,Appartement,Ariana,La Soukra,100.0,2.0,1.0,4,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif,mubawab,1,1,0,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,0
285000.0,0,Appartement,Ariana,Ariana Ville,128.0,2.0,1.0,4,https://www.mubawab-media.com/ad/8/303/407F/h/thumb_1278820_property_large_81967755.avif,mubawab,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0
550000.0,0,Appartement,Tunis,La Marsa,123.0,1.0,2.0,4,https://www.mubawab-media.com/ad/8/270/110F/h/thumb_1224436_property_large_81609791.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,23,1,0
650000.0,0,Appartement,Tunis,La Marsa,172.0,1.0,4.0,4,https://www.mubawab-media.com/ad/8/236/144F/h/thumb_1186202_property_large_81242749.avif,mubawab,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,1,0
980000.0,0,Appartement,Tunis,Le Kram,201.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/276/869F/h/l1_81681748.avif,mubawab,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,23,1,0
980000.0,0,Appartement,Tunis,Le Kram,231.0,5.0,4.0,1,https://www.mubawab-media.com/ad/8/177/834F/h/thumb_1182702_property_big_81417350.avif,mubawab,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,23,1,0
500000.0,0,Appartement,Ariana,Ariana Ville,174.0,5.0,4.0,4,https://www.mubawab-media.com/ad/8/303/115F/h/thumb_1278522_property_large_81964458.avif,mubawab,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,1,0
394000.0,0,Appartement,Tunis,La Marsa,138.0,3.0,3.0,4,https://www.mubawab-media.com/ad/8/084/903F/h/logo1_81960382.avif,mubawab,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,23,1,0
430000.0,0,Appartement,Ariana,La Soukra,136.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/289/614F/h/SALON%20%283%29_81818091.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,1,1,0
275000.0,0,Appartement,Tunis,La Marsa,90.0,2.0,2.0,4,https://www.mubawab-media.com/ad/8/277/097F/h/thumb_1232208_property_large_81684435.avif,mubawab,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,23,1,0
223532.0,0,Appartement,Kairouan,Kairouan Ville,95.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/255/537F/h/WhatsApp%20Image%202025-11-22%20%C3%A0%2013.42.29_9d2597ab_81460919.avif,mubawab,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,8,1,0
380000.0,0,Appartement,Ariana,Ariana Ville,140.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/304/393F/h/fal02%20%281%29_81977459.avif,mubawab,0,1,0,0,1,0,0,0,1,0,0,0,1,1,0,1,0,1,1,1,0
450000.0,0,Appartement,Ariana,Ariana Ville,150.0,3.0,3.0,4,https://www.mubawab-media.com/ad/8/287/221F/h/thumb_1240521_property_large_81793021.avif,mubawab,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,1,1,1,0
400000.0,0,Appartement,Ariana,Ariana Ville,158.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/304/376F/h/APP%20A6%20IMM%20NOUR%20P0_81977274.avif,mubawab,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,1,0,0,1,1,0
248000.0,0,Appartement,Nabeul,Hammamet,45.0,2.0,1.0,4,https://www.mubawab-media.com/ad/8/297/962F/h/b6cec4a0-1b96-4dfb-bec8-4bfb7e2f6630_81909358.avif,mubawab,0,1,0,0,0,0,0,1,1,1,0,0,1,1,0,0,0,0,16,1,0
135000.0,0,Appartement,Tunis,El Mourouj,100.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/304/367F/h/1_81977174.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,1,0
635000.0,0,Appartement,Ariana,La Soukra,214.0,4.0,3.0,4,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif,mubawab,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0
530000.0,0,Appartement,Ariana,La Soukra,104.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015631_property_xlarge_79786133.avif,mubawab,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,1,1,1,0
630000.0,0,Appartement,Ariana,La Soukra,150.0,4.0,3.0,4,https://www.mubawab-media.com/ad/7/997/821F/h/thumb_921207_property_xlarge_79013324.avif,mubawab,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,0,1,1,1,0
380000.0,0,Appartement,Ben Arous,Boumhel Bassatine,120.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/111/786F/h/03%20%281%29_79962346_79962359.avif,mubawab,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0
250000.0,0,Appartement,Sousse,Akouda,95.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/287/936F/h/WhatsApp%20Image%202026-01-13%20at%2016.25.03%20%287%29_81800522.avif,mubawab,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,20,1,0
419000.0,0,Appartement,Tunis,Le Kram,115.0,3.0,2.0,4,,mubawab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
605000.0,0,Appartement,Tunis,La Marsa,119.0,3.0,2.0,4,https://www.mubawab-media.com/ad/7/903/087F/h/VUE%206_44687753_73907093.avif,mubawab,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,1,0,0,23,1,0
817920.0,0,Appartement,Ariana,La Soukra,129.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/257/527F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_41e372a0_81462149.avif,mubawab,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0
370000.0,0,Appartement,Tunis,Le Kram,65.0,2.0,1.0,4,https://www.mubawab-media.com/ad/7/907/104F/h/Capture%20d%27%C3%A9cran%202025-12-22%20114548_81739644.avif,mubawab,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,23,1,0
280000.0,0,Appartement,Sousse,Sahloul,145.0,1.0,3.0,4,https://www.mubawab-media.com/ad/8/301/465F/h/1_81947454.avif,mubawab,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,20,1,0
340000.0,0,Appartement,Tunis,La Marsa,121.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/283/657F/h/589988999_1999865923923607_4049922561364588805_n_81756299.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,23,1,0
360000.0,0,Appartement,Tunis,La Marsa,130.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/295/248F/h/a487ad88-4922-404a-972d-4a15b88b6f78_81880231.avif,mubawab,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,1,23,1,0
420000.0,0,Appartement,Tunis,La Marsa,136.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/283/678F/h/577879951_1924173805196498_8839649052349571021_n_81756479.avif,mubawab,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,1,23,1,0
255000.0,0,Appartement,Nabeul,Nabeul,62.0,2.0,2.0,4,https://www.mubawab-media.com/ad/8/294/092F/h/thumb_1268309_property_xlarge_81865127.avif,mubawab,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,1,0,1,16,1,0
400000.0,0,Appartement,Sousse,Hammam Sousse,100.0,1.0,3.0,4,https://www.mubawab-media.com/ad/8/301/994F/h/WhatsApp%20Image%202026-02-11%20at%2018.26.20_81953007.avif,mubawab,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,20,1,0
310000.0,0,Appartement,Nabeul,Kélibia,130.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/268/818F/h/gallery%20%281%29_81596168.avif,mubawab,1,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,16,1,0
310000.0,0,Appartement,Tunis,El Menzah,140.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/003/736F/h/20240925_103533_78898410.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,23,1,0
674000.0,0,Appartement,Tunis,Le Kram,134.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/286/498F/h/photo_00_81785363.avif,mubawab,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,23,1,0
135000.0,0,Appartement,Tunis,El Mourouj,100.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/304/367F/h/1_81977174.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,1,0
375000.0,0,Appartement,Tunis,La Marsa,110.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/218/716F/h/gallery_81056240.avif,mubawab,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,1,0
250000.0,0,Appartement,Tunis,La Marsa,106.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/262/776F/h/gallery_81526310.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,23,1,0
590478.0,0,Appartement,Tunis,Le Kram,112.0,3.0,2.0,1,https://www.mubawab-media.com/ad/8/271/216F/h/gallery_81621523.avif,mubawab,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,23,1,0
539994.0,0,Appartement,Tunis,Le Kram,128.0,3.0,3.0,1,https://www.mubawab-media.com/ad/8/271/217F/h/gallery_81621524.avif,mubawab,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,23,1,0
260778.0,0,Appartement,Tunis,Le Kram,62.0,2.0,1.0,1,https://www.mubawab-media.com/ad/8/271/219F/h/gallery_81621526.avif,mubawab,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,23,1,0
160000.0,0,Appartement,Tunis,El Mourouj,80.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/304/169F/h/1_81975066.avif,mubawab,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
310000.0,0,Appartement,Tunis,La Marsa,126.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/283/801F/h/553813120_4272564002963768_1771023649762954099_n_81794114.avif,mubawab,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0,0,0,0,23,1,0
394000.0,0,Appartement,Tunis,La Marsa,138.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/287/205F/h/550470467_2290440904736990_8862465445398018373_n_81792884.avif,mubawab,0,1,0,1,1,0,0,0,1,0,0,0,1,1,0,0,0,0,23,1,0
326000.0,0,Appartement,Ben Arous,Boumhel Bassatine,103.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/111/787F/h/02%20%281%29_79962345_79962361.avif,mubawab,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,1,0
250000.0,0,Appartement,Sousse,Akouda,95.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/287/936F/h/WhatsApp%20Image%202026-01-13%20at%2016.25.03%20%287%29_81800522.avif,mubawab,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,20,1,0
220000.0,0,Appartement,Sousse,Akouda,134.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/287/935F/h/WhatsApp%20Image%202026-01-16%20at%2009.45.40%20%283%29_81800512.avif,mubawab,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,1,20,1,0
530000.0,0,Appartement,Tunis,Le Kram,90.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/299/575F/h/gallery_81928561.avif,mubawab,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,23,1,0
1800000.0,0,Appartement,Tunis,Le Kram,223.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/298/722F/h/gallery_81919804.avif,mubawab,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,23,1,0
550000.0,0,Appartement,Tunis,Le Kram,145.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/294/505F/h/gallery_81869658.avif,mubawab,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,23,1,0
240000.0,0,Appartement,Tunis,La Marsa,115.0,3.0,2.0,4,,mubawab,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,1,0
850000.0,0,Appartement,Tunis,La Marsa,122.0,3.0,3.0,2,https://www.mubawab-media.com/ad/7/909/493F/h/VUE%202_74821761.avif,mubawab,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,1,0,0,23,1,0
672341.0,0,Appartement,Ariana,La Soukra,105.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/257/532F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_e154bac4_81462182.avif,mubawab,1,1,1,1,1,0,1,0,0,0,0,0,1,1,0,1,0,1,1,1,0
330000.0,0,Appartement,Tunis,La Marsa,160.0,3.0,3.0,4,https://www.mubawab-media.com/ad/8/285/892F/h/photo_00_81779006.avif,mubawab,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,0,1,23,1,0
412000.0,0,Appartement,Tunis,Cité El Khadra,112.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/244/611F/h/3c94f7ba-743e-4702-9288-f27f59e75a70_81549767.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,23,1,0
780000.0,0,Appartement,Tunis,Le Kram,190.0,3.0,3.0,4,https://www.mubawab-media.com/ad/8/070/601F/h/thumb_987786_property_xlarge_79561763.avif,mubawab,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,23,1,0
225000.0,0,Appartement,Tunis,Cité El Khadra,130.0,4.0,3.0,4,https://www.mubawab-media.com/ad/8/202/666F/h/WhatsApp%20Image%202025-08-11%20at%2011.40.39%20AM%20%282%29_80888343.avif,mubawab,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,23,1,0
130000.0,0,Appartement,Sousse,Sousse Corniche,45.0,2.0,1.0,4,https://www.mubawab-media.com/ad/8/206/947F/h/Copie%20de%20Visuel%20Agences%20Sousse%20Corniche%20-%202025-08-29T110231.742_80930102.avif,mubawab,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,20,1,0
235000.0,0,Appartement,Ariana,La Soukra,70.0,2.0,2.0,4,https://www.mubawab-media.com/ad/8/274/253F/h/thumb_1228916_property_xlarge_81653621.avif,mubawab,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0
450000.0,0,Appartement,Sousse,Sousse Ville,250.0,3.0,2.0,4,https://www.mubawab-media.com/ad/8/247/859F/h/7_81363917.avif,mubawab,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,20,1,0
