gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,has_jardin,has_garage,has_piscine,has_terrasse,has_vue_mer,has_securite,has_meuble,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_cheminee,has_standing,has_vue_montagne,prix,image_url
23,1.0,36.8528,10.3247,220.0,4.0,3.0,0.5,0.5388,2.0,2562.03,0.325,4,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,2200.0,https://www.mubawab-media.com/ad/8/216/981F/h/1_81037338.avif
23,1.0,36.8528,10.3247,230.0,6.0,4.0,0.5,0.5388,2.0,2562.03,0.2802,4,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,3700.0,https://www.mubawab-media.com/ad/8/101/782F/h/1_GF_79863084.avif
1,0.8193,36.899,10.2358,400.0,4.0,5.0,0.5,0.4235,2.0,43985.0,0.312,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5000.0,https://www.mubawab-media.com/ad/8/300/448F/h/thumb_1274769_property_xlarge_81936926.avif
23,0.9036,36.8769,10.3247,300.0,5.0,4.0,0.5,0.8015,2.0,2562.03,0.3172,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3700.0,https://www.mubawab-media.com/ad/8/292/840F/h/324d65a7-7e62-445e-be4b-93f750c9d626_81851857.avif
16,0.2771,36.4561,10.7376,160.0,4.0,3.0,0.5,0.4454,2.0,154974.0,0.3152,4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1800.0,https://www.mubawab-media.com/ad/8/305/422F/h/thumb_1185918_property_big_81987003.avif
23,0.9036,36.819,10.2358,670.0,7.0,4.0,0.5,0.517,2.0,43985.0,0.3168,4,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,12000.0,https://www.mubawab-media.com/ad/8/282/264F/h/thumb_1235585_property_xlarge_81744361.avif
1,0.8193,36.899,10.2358,400.0,5.0,4.0,0.5,0.4235,2.0,43985.0,0.3104,4,0,1,1,1,1,0,1,0,1,1,1,0,0,0,0,3700.0,https://www.mubawab-media.com/ad/8/305/024F/h/629452753_1179116377634775_5620186851007239679_n_81982984.avif
23,1.0,36.8528,10.3247,120.0,3.0,2.0,0.5,0.5388,2.0,2562.03,0.3297,4,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,3000.0,https://www.mubawab-media.com/ad/8/148/541F/h/8fa32c86-8106-4fe6-8756-aa8083e2fe1b_GF_80333124.avif
20,0.1807,36.8,10.1,220.0,4.0,3.0,0.5,0.3807,2.0,110184.0,0.3148,4,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,2000.0,https://www.mubawab-media.com/ad/8/162/607F/h/thumb_61537_property_xlarge_80486327.avif
1,0.8193,36.899,10.2358,220.0,5.0,4.0,0.5,0.4235,2.0,43985.0,0.3261,4,0,1,1,0,1,0,0,0,1,1,0,0,0,0,0,2000.0,https://www.mubawab-media.com/ad/8/288/003F/h/thumb_1241481_property_xlarge_81801380.avif
23,0.9036,36.8769,10.3247,150.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3123,4,0,1,0,1,1,0,0,1,1,1,1,0,0,0,0,4800.0,https://www.mubawab-media.com/ad/8/304/722F/h/1000153483_81980057.avif
20,0.3976,35.8245,10.6346,220.0,3.0,3.0,0.5,0.2902,2.0,150620.48,0.2742,4,0,1,1,0,1,0,1,0,1,1,1,0,0,0,0,2000.0,https://www.mubawab-media.com/ad/8/246/759F/h/thumb_56634_property_xlarge_81352849.avif
1,0.8193,36.819,10.2358,500.0,5.0,5.0,0.5,0.517,2.0,43985.0,0.3168,4,0,1,0,0,0,0,1,0,0,1,1,0,0,0,0,2600.0,https://www.mubawab-media.com/ad/8/269/142F/h/thumb_1231290_property_xlarge_81673962.avif
16,0.3012,36.4561,10.7376,150.0,4.0,2.0,0.5,0.4552,2.0,154974.0,0.2754,4,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1500.0,https://www.mubawab-media.com/ad/8/285/788F/h/82efd42c-421b-4703-a95c-8d0ede935428_81778090.avif
23,1.0,36.8528,10.3247,200.0,3.0,2.0,0.5,0.5388,2.0,2562.03,0.2746,4,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,3200.0,https://www.mubawab-media.com/ad/8/300/469F/h/thumb_1275240_property_large_81937112.avif
1,0.8193,36.899,10.2358,250.0,6.0,5.0,0.5,0.4235,2.0,43985.0,0.3257,4,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,3500.0,https://www.mubawab-media.com/ad/8/283/298F/h/WhatsApp%20Image%202026-02-09%20at%2016.30.57%20%286%29_81935323.avif
23,0.9036,36.8769,10.3247,400.0,6.0,5.0,0.5,0.8015,2.0,2562.03,0.3458,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,3500.0,https://www.mubawab-media.com/ad/8/283/244F/h/thumb_998452_property_xlarge_81751658.avif
1,0.8193,36.899,10.2358,170.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3124,4,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,4200.0,https://www.mubawab-media.com/ad/8/296/643F/h/thumb_1270486_property_large_81895470.avif
23,0.9036,36.8769,10.3247,140.0,3.0,3.0,0.5,0.8015,2.0,2562.03,0.3151,4,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,3000.0,https://www.mubawab-media.com/ad/8/306/182F/h/thumb_1281976_property_large_81995061.avif
14,0.2771,33.3549,10.5055,220.0,6.0,3.0,0.5,0.2913,2.0,106845.0,0.3184,4,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,1600.0,https://www.mubawab-media.com/ad/8/306/130F/h/WhatsApp%20Image%202026-01-26%20at%2010.31.45%20%281%29_81994585.avif
23,0.2771,36.819,10.1658,280.0,5.0,3.0,0.5,0.6863,2.0,2562.03,0.3172,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3000.0,https://www.mubawab-media.com/ad/8/301/570F/h/WhatsApp%20Image%202026-02-11%20at%2011.05.05%20AM_81948536.avif
16,0.3012,36.4561,10.7376,220.0,1.0,3.0,0.5,0.4552,2.0,154974.0,0.2714,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1350.0,https://www.mubawab-media.com/ad/8/297/910F/h/thumb_1270757_property_large_81908735.avif
23,0.2771,36.819,10.1658,170.0,4.0,3.0,0.5,0.3526,2.0,2562.03,0.3422,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3500.0,https://www.mubawab-media.com/ad/8/303/365F/h/thumb_1278744_property_large_81967384.avif
1,0.8193,36.899,10.2358,350.0,6.0,5.0,0.5,0.4235,2.0,43985.0,0.2742,4,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,3800.0,https://www.mubawab-media.com/ad/8/302/970F/h/thumb_1278267_property_large_81963067.avif
23,1.0,36.8528,10.3247,150.0,4.0,3.0,0.5,0.5388,2.0,2562.03,0.3104,4,0,0,0,0,1,0,0,0,1,1,1,0,0,0,0,4000.0,https://www.mubawab-media.com/ad/8/286/415F/h/WhatsApp%20Image%202024-05-08%20%C3%A0%2010.41.03_39f9d384_81784493.avif
23,1.0,36.8528,10.3247,100.0,2.0,1.0,0.5,0.5388,2.0,2562.03,0.3407,4,0,0,0,0,1,0,0,1,0,1,1,0,0,0,0,2500.0,https://www.mubawab-media.com/ad/8/296/695F/h/ch%20amri_81896073.avif
23,0.1145,36.8,10.1,100.0,5.0,3.0,0.5,0.3123,2.0,110184.0,0.277,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,750.0,https://www.mubawab-media.com/ad/8/305/802F/h/IMG-20260218-WA0017_81990987.avif
