gouvernorat_enc,ville_enc,quartier_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,nb_sdb,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,prix,image_url,images,type_bien,type_transaction,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,has_cheminee
23,1.0,0.5926,36.8769,10.3247,150.0,3.0,2.0,0,0.5,0.8015,2.0,2562.03,0.2888,4,0,2500.0,https://www.mubawab-media.com/ad/8/305/602F/h/IMG_4920_81988746.avif,https://www.mubawab-media.com/ad/8/305/602F/h/IMG_4920_81988746.avif | https://www.mubawab-media.com/ad/8/305/602F/h/IMG_4921_81988747.avif | https://www.mubawab-media.com/ad/8/305/602F/h/IMG_4918_81988744.avif | https://www.mubawab-media.com/ad/8/305/602F/h/IMG_4919%20%281%29_81988745.avif,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0
23,1.0,0.9259,36.8769,10.3247,121.0,3.0,2.0,0,0.5,0.8015,2.0,2562.03,0.3273,4,0,2800.0,https://www.mubawab-media.com/ad/8/097/505F/h/image_1_79822021.avif,https://www.mubawab-media.com/ad/8/097/505F/h/image_1_79822021.avif | https://www.mubawab-media.com/ad/8/097/505F/h/image_2_79822022.avif | https://www.mubawab-media.com/ad/8/097/505F/h/image_3_79822023.avif | https://www.mubawab-media.com/ad/8/097/505F/h/image_4_79822024.avif,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
23,1.0,0.4074,36.8769,10.3247,250.0,3.0,2.0,0,0.5,0.8015,2.0,2562.03,0.3399,4,0,3500.0,https://www.mubawab-media.com/ad/8/300/216F/h/thumb_1274606_property_large_81934757.avif,https://www.mubawab-media.com/ad/8/300/216F/h/thumb_1274606_property_large_81934757.avif | https://www.mubawab-media.com/ad/8/300/216F/h/thumb_1274610_property_large_81934756.avif | https://www.mubawab-media.com/ad/8/300/216F/h/thumb_1274619_property_large_81934750.avif | https://www.mubawab-media.com/ad/8/300/216F/h/thumb_1274618_property_large_81934751.avif,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
23,1.0,0.4259,36.8769,10.3247,121.0,4.0,3.0,0,0.5,0.8015,2.0,2562.03,0.3435,4,0,4500.0,https://www.mubawab-media.com/ad/8/296/986F/h/thumb_1270854_property_large_81898988.avif,https://www.mubawab-media.com/ad/8/296/986F/h/thumb_1270854_property_large_81898988.avif | https://www.mubawab-media.com/ad/8/296/986F/h/thumb_1270851_property_large_81898989.avif | https://www.mubawab-media.com/ad/8/296/986F/h/thumb_1270859_property_large_81898990.avif | https://www.mubawab-media.com/ad/8/296/986F/h/thumb_1270852_property_large_81898991.avif,1,1,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
23,0.7843,0.5185,36.819,10.1658,156.0,2.0,2.0,0,0.5,0.5524,2.0,2562.03,0.3662,4,0,2400.0,https://www.mubawab-media.com/ad/8/292/243F/h/thumb_1266601_property_xlarge_81850309.avif,https://www.mubawab-media.com/ad/8/292/243F/h/thumb_1266601_property_xlarge_81850309.avif | https://www.mubawab-media.com/ad/8/292/243F/h/thumb_1266610_property_xlarge_81850310.avif | https://www.mubawab-media.com/ad/8/292/243F/h/thumb_1266600_property_xlarge_81850311.avif | https://www.mubawab-media.com/ad/8/292/243F/h/thumb_1266605_property_xlarge_81850312.avif,1,1,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0
23,1.0,0.9259,36.8769,10.3247,260.0,3.0,3.0,0,0.5,0.8015,2.0,2562.03,0.3545,4,0,5000.0,https://www.mubawab-media.com/ad/8/290/425F/h/thumb_1262695_property_xlarge_81826789.avif,https://www.mubawab-media.com/ad/8/290/425F/h/thumb_1262695_property_xlarge_81826789.avif | https://www.mubawab-media.com/ad/8/290/425F/h/thumb_1262696_property_xlarge_81826790.avif | https://www.mubawab-media.com/ad/8/290/425F/h/thumb_1262697_property_xlarge_81826791.avif | https://www.mubawab-media.com/ad/8/290/425F/h/thumb_1262698_property_xlarge_81826793.avif,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0
1,0.3361,0.2222,36.899,10.2358,44.0,2.0,1.0,1,0.5,0.4235,2.0,43985.0,0.3192,4,0,1150.0,https://www.mubawab-media.com/ad/8/253/718F/h/BANQUE%20%281%29_44943652_81423265.avif,https://www.mubawab-media.com/ad/8/253/718F/h/BANQUE%20%281%29_44943652_81423265.avif | https://www.mubawab-media.com/ad/8/253/718F/h/CHOURA2%20%281%29_44752387_81423266.avif | https://www.mubawab-media.com/ad/8/253/718F/h/WhatsApp%20Image%202022-11-17%20at%2009.36.04_36353949_81423267.avif | https://www.mubawab-media.com/ad/8/253/718F/h/WhatsApp%20Image%202022-11-17%20at%2009.36.03_36353950_81423268.avif,1,1,0,1,0,0,0,1,1,1,1,1,1,1,1,0,0,0,0
23,1.0,0.537,36.8769,10.3247,121.0,4.0,4.0,1,0.5,0.8015,2.0,2562.03,0.3194,4,0,2700.0,https://www.mubawab-media.com/ad/8/305/033F/h/thumb_1280261_property_large_81982994.avif,https://www.mubawab-media.com/ad/8/305/033F/h/thumb_1280261_property_large_81982994.avif | https://www.mubawab-media.com/ad/8/305/033F/h/thumb_1280253_property_large_81982995.avif | https://www.mubawab-media.com/ad/8/305/033F/h/thumb_1280254_property_large_81982996.avif | https://www.mubawab-media.com/ad/8/305/033F/h/thumb_1280255_property_large_81982997.avif,1,1,0,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0
23,1.0,0.2037,36.8769,10.3247,94.0,2.0,1.0,0,0.5,0.8015,2.0,2562.03,0.2852,4,0,1500.0,https://www.mubawab-media.com/ad/8/286/899F/h/thumb_1167378_property_xlarge_81789786.avif,https://www.mubawab-media.com/ad/8/286/899F/h/thumb_1167378_property_xlarge_81789786.avif | https://www.mubawab-media.com/ad/8/286/899F/h/thumb_1281207_property_xlarge_81989243.avif | https://www.mubawab-media.com/ad/8/286/899F/h/thumb_1281205_property_xlarge_81989244.avif | https://www.mubawab-media.com/ad/8/286/899F/h/thumb_1281154_property_xlarge_81989245.avif,1,1,0,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0,0
1,0.3361,0.4074,36.899,10.2358,65.0,2.0,1.0,1,0.5,0.4235,2.0,43985.0,0.3144,4,0,1300.0,https://www.mubawab-media.com/ad/8/302/422F/h/WhatsApp%20Image%202026-02-11%20at%2009.15.58_81957423.avif,https://www.mubawab-media.com/ad/8/302/422F/h/WhatsApp%20Image%202026-02-11%20at%2009.15.58_81957423.avif | https://www.mubawab-media.com/ad/8/302/422F/h/WhatsApp%20Image%202026-02-11%20at%2009.15.58%20%281%29_81957424.avif | https://www.mubawab-media.com/ad/8/302/422F/h/WhatsApp%20Image%202026-02-11%20at%2009.15.58%20%282%29_81957425.avif | https://www.mubawab-media.com/ad/8/302/422F/h/WhatsApp%20Image%202026-02-11%20at%2009.15.58%20%283%29_81957426.avif,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,1,0
23,0.7843,0.5185,36.819,10.1658,121.0,3.0,1.0,0,0.5,0.5524,2.0,2562.03,0.3431,4,0,1850.0,https://www.mubawab-media.com/ad/8/301/123F/h/thumb_1275151_property_xlarge_81944022.avif,https://www.mubawab-media.com/ad/8/301/123F/h/thumb_1275151_property_xlarge_81944022.avif | https://www.mubawab-media.com/ad/8/301/123F/h/thumb_1275159_property_xlarge_81944023.avif | https://www.mubawab-media.com/ad/8/301/123F/h/thumb_1275153_property_xlarge_81944024.avif | https://www.mubawab-media.com/ad/8/301/123F/h/thumb_1275152_property_xlarge_81944025.avif,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,0.7843,0.5185,36.819,10.1658,90.0,2.0,1.0,1,0.5,0.5524,2.0,2562.03,0.3391,4,0,1800.0,https://www.mubawab-media.com/ad/8/288/659F/h/1_81808183.avif,https://www.mubawab-media.com/ad/8/288/659F/h/1_81808183.avif | https://www.mubawab-media.com/ad/8/288/659F/h/2_81808184.avif | https://www.mubawab-media.com/ad/8/288/659F/h/3_81808185.avif | https://www.mubawab-media.com/ad/8/288/659F/h/4_81808186.avif,1,1,0,1,1,0,0,1,0,1,1,1,0,1,0,1,0,0,0
23,1.0,0.4074,36.8769,10.3247,121.0,5.0,4.0,0,0.5,0.8015,2.0,2562.03,0.3502,4,0,5250.0,https://www.mubawab-media.com/ad/8/285/030F/h/image_1_81770333.avif,https://www.mubawab-media.com/ad/8/285/030F/h/image_1_81770333.avif | https://www.mubawab-media.com/ad/8/285/030F/h/image_2_81770334.avif | https://www.mubawab-media.com/ad/8/285/030F/h/image_3_81770335.avif | https://www.mubawab-media.com/ad/8/285/030F/h/image_5_81770336.avif,1,1,0,1,1,1,0,1,1,1,1,1,1,1,1,1,0,0,0
23,1.0,0.9259,36.8769,10.3247,220.0,5.0,4.0,0,0.5,0.8015,2.0,2562.03,0.3541,4,0,4200.0,https://www.mubawab-media.com/ad/8/231/703F/h/5e98b29d-5e64-468c-b943-b60edd772fab_81197770.avif,https://www.mubawab-media.com/ad/8/231/703F/h/5e98b29d-5e64-468c-b943-b60edd772fab_81197770.avif | https://www.mubawab-media.com/ad/8/231/703F/h/752329ce-a376-45b4-816f-df850c70dcc3_81197771.avif | https://www.mubawab-media.com/ad/8/231/703F/h/e97a729c-f010-431e-9bd5-334d0757bb72_81197772.avif | https://www.mubawab-media.com/ad/8/231/703F/h/1225e08d-5811-4c16-95fc-26baac99a82f_81197773.avif,1,1,0,0,1,0,0,1,0,1,1,1,1,1,1,1,0,0,0
23,1.0,0.9259,36.8769,10.3247,200.0,3.0,2.0,0,0.5,0.8015,2.0,2562.03,0.338,4,0,5500.0,https://www.mubawab-media.com/ad/8/302/081F/h/d0561b16-9306-42cb-b89b-e1086e55b839_81954007.avif,https://www.mubawab-media.com/ad/8/302/081F/h/d0561b16-9306-42cb-b89b-e1086e55b839_81954007.avif | https://www.mubawab-media.com/ad/8/302/081F/h/f674d9ce-3cc6-4f8e-97ed-e39ea93a013f_81954008.avif | https://www.mubawab-media.com/ad/8/302/081F/h/56ae50dd-08c2-4224-ba09-e1ae1dd31a10%20%281%29_81954009.avif | https://www.mubawab-media.com/ad/8/302/081F/h/0a123100-e3f6-4ad5-a1da-3b80f1008851_81954010.avif,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1,0,0,0,0
23,0.7843,0.5185,36.819,10.1658,160.0,5.0,3.0,0,0.5,0.5524,2.0,2562.03,0.3379,4,0,3000.0,https://www.mubawab-media.com/ad/8/298/593F/h/WhatsApp%20Image%202026-02-06%20at%2010.11.38%20AM%20%2810%29_81918534.avif,https://www.mubawab-media.com/ad/8/298/593F/h/WhatsApp%20Image%202026-02-06%20at%2010.11.38%20AM%20%2810%29_81918534.avif | https://www.mubawab-media.com/ad/8/298/593F/h/WhatsApp%20Image%202026-02-06%20at%2010.11.38%20AM_81918535.avif | https://www.mubawab-media.com/ad/8/298/593F/h/WhatsApp%20Image%202026-02-06%20at%2010.11.36%20AM_81918536.avif | https://www.mubawab-media.com/ad/8/298/593F/h/WhatsApp%20Image%202026-02-06%20at%2010.11.40%20AM%20%281%29_81918537.avif,1,1,1,0,1,0,0,1,1,1,1,1,1,1,1,0,0,0,0
