gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,prix,image_url,images,type_bien,type_transaction,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,has_cheminee,etat_score,etat_prob_renove,standing_score,standing_prob_luxe
1,0.2335,36.899,10.2358,125.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.3104,4,0,475000.0,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153490_property_xlarge_80949737.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153498_property_xlarge_80949738.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153496_property_xlarge_80949739.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.5517,3,0.3524
1,0.2335,36.899,10.2358,214.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3156,4,0,635000.0,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901244_property_xlarge_78820312.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901236_property_xlarge_78820313.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901228_property_xlarge_78820317.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0.6395,3,0.3743
1,0.2335,36.899,10.2358,104.0,3.0,2.0,0.5,0.4235,2.0,43985.0,0.2746,4,0,530000.0,https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015631_property_xlarge_79786133.avif,https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015631_property_xlarge_79786133.avif | https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015630_property_xlarge_79786134.avif | https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015637_property_xlarge_79786135.avif | https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015632_property_xlarge_79786136.avif,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0.6399,3,0.3865
3,0.2702,36.8,10.1,116.0,3.0,2.0,0.5,0.274,2.0,110184.0,0.3297,4,0,287000.0,https://www.mubawab-media.com/ad/7/928/114F/h/DSC_6827-HDR_21207779_76256906.avif,https://www.mubawab-media.com/ad/7/928/114F/h/DSC_6827-HDR_21207779_76256906.avif | https://www.mubawab-media.com/ad/7/928/114F/h/WhatsApp%20Image%202024-06-03%20at%2012.06.29%20%282%29_76256780_76256892.avif | https://www.mubawab-media.com/ad/7/928/114F/h/WhatsApp%20Image%202024-06-03%20at%2012.06.29_76256782_76256894.avif | https://www.mubawab-media.com/ad/7/928/114F/h/WhatsApp%20Image%202024-06-03%20at%2012.06.29%20%281%29_76256783_76256895.avif,1,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,1,0.5096,3,0.3408
23,0.0035,36.819,10.1658,70.0,2.0,2.0,0.5,0.6863,2.0,2562.03,0.2738,4,0,160000.0,https://www.mubawab-media.com/ad/8/293/596F/h/Salon_81859863.avif,https://www.mubawab-media.com/ad/8/293/596F/h/Salon_81859863.avif | https://www.mubawab-media.com/ad/8/293/596F/h/Chambre1_81859864.avif | https://www.mubawab-media.com/ad/8/293/596F/h/Salon1_81859865.avif | https://www.mubawab-media.com/ad/8/293/596F/h/20250928_100257_81859866.avif,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0.7388,2,0.3559
23,0.0025,36.844,10.3247,121.0,3.0,2.0,0.5,0.5305,2.0,2562.03,0.3176,4,0,240000.0,,https://www.mubawab-media.com/promotion/4/547F/pictures/h/MARBELLA_81612983.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/1010_81618564.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/Rendu%20Marbella_Hall%20d%27accueil_05_81612984.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/Rendu%20Marbella_Hall%20d%27accueil_02%20_81612985.avif,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.4729,1,0.3207
20,0.19,36.8,10.1,167.0,4.0,3.0,0.5,0.3807,2.0,110184.0,0.3545,4,0,447000.0,https://www.mubawab-media.com/ad/8/230/106F/h/photo_01_81181225.avif,https://www.mubawab-media.com/ad/8/230/106F/h/photo_01_81181225.avif | https://www.mubawab-media.com/ad/8/230/106F/h/photo_00_81181224.avif | https://www.mubawab-media.com/ad/8/230/106F/h/photo_02_81181226.avif | https://www.mubawab-media.com/ad/8/230/106F/h/photo_03_81181227.avif,1,2,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0,1,0.6501,3,0.3785
23,0.0017,36.819,10.1658,120.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,4,0,420000.0,https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885559.avif,https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885559.avif | https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885560.avif | https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885561.avif | https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885562.avif,1,2,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0.6551,2,0.3567
23,0.0017,36.819,10.1658,175.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,4,0,940000.0,https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869506.avif,https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869506.avif | https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869507.avif | https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869508.avif | https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869509.avif,1,2,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0.6452,3,0.3717
23,0.0017,36.819,10.1658,158.0,3.0,2.0,0.5,0.5524,2.0,2562.03,0.2694,4,0,675000.0,https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869974.avif,https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869974.avif | https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869976.avif | https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869977.avif | https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869978.avif,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0.8175,2,0.3642
