gouvernorat_enc,ville_enc,quartier_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,nb_sdb,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,prix,image_url,images,type_bien,type_transaction,has_ascenseur,has_meuble,has_terrasse,has_piscine,has_vue_mer,has_garage,has_securite,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_porte_blindee,has_concierge,has_jardin,has_standing,has_vue_montagne,has_cheminee
1,0.447,0.2577,36.899,10.2358,125.0,3.0,2.0,0,0.5,0.4235,2.0,43985.0,0.3104,4,0,475000.0,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153490_property_xlarge_80949737.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153498_property_xlarge_80949738.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153496_property_xlarge_80949739.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0.447,0.2577,36.899,10.2358,214.0,4.0,3.0,0,0.5,0.4235,2.0,43985.0,0.3156,4,0,635000.0,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901244_property_xlarge_78820312.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901236_property_xlarge_78820313.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901228_property_xlarge_78820317.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0.447,0.2577,36.899,10.2358,104.0,3.0,2.0,1,0.5,0.4235,2.0,43985.0,0.2746,4,0,530000.0,https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015631_property_xlarge_79786133.avif,https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015631_property_xlarge_79786133.avif | https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015630_property_xlarge_79786134.avif | https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015637_property_xlarge_79786135.avif | https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015632_property_xlarge_79786136.avif,1,2,1,0,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0
3,0.2885,0.127,36.8,10.1,116.0,3.0,2.0,1,0.5,0.274,2.0,110184.0,0.3297,4,0,287000.0,https://www.mubawab-media.com/ad/7/928/114F/h/DSC_6827-HDR_21207779_76256906.avif,https://www.mubawab-media.com/ad/7/928/114F/h/DSC_6827-HDR_21207779_76256906.avif | https://www.mubawab-media.com/ad/7/928/114F/h/WhatsApp%20Image%202024-06-03%20at%2012.06.29%20%282%29_76256780_76256892.avif | https://www.mubawab-media.com/ad/7/928/114F/h/WhatsApp%20Image%202024-06-03%20at%2012.06.29_76256782_76256894.avif | https://www.mubawab-media.com/ad/7/928/114F/h/WhatsApp%20Image%202024-06-03%20at%2012.06.29%20%281%29_76256783_76256895.avif,1,2,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0
23,0.2031,0.1881,36.819,10.1658,70.0,2.0,2.0,1,0.5,0.6863,2.0,2562.03,0.2738,4,0,160000.0,https://www.mubawab-media.com/ad/8/293/596F/h/Salon_81859863.avif,https://www.mubawab-media.com/ad/8/293/596F/h/Salon_81859863.avif | https://www.mubawab-media.com/ad/8/293/596F/h/Chambre1_81859864.avif | https://www.mubawab-media.com/ad/8/293/596F/h/Salon1_81859865.avif | https://www.mubawab-media.com/ad/8/293/596F/h/20250928_100257_81859866.avif,1,2,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
23,0.6177,0.0491,36.844,10.3247,121.0,3.0,2.0,0,0.5,0.5305,2.0,2562.03,0.3176,4,0,240000.0,nan,https://www.mubawab-media.com/promotion/4/547F/pictures/h/MARBELLA_81612983.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/1010_81618564.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/Rendu%20Marbella_Hall%20d%27accueil_05_81612984.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/Rendu%20Marbella_Hall%20d%27accueil_02%20_81612985.avif,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,0.3129,0.1782,36.8,10.1,167.0,4.0,3.0,0,0.5,0.3807,2.0,110184.0,0.3545,4,0,447000.0,https://www.mubawab-media.com/ad/8/230/106F/h/photo_01_81181225.avif,https://www.mubawab-media.com/ad/8/230/106F/h/photo_01_81181225.avif | https://www.mubawab-media.com/ad/8/230/106F/h/photo_00_81181224.avif | https://www.mubawab-media.com/ad/8/230/106F/h/photo_02_81181226.avif | https://www.mubawab-media.com/ad/8/230/106F/h/photo_03_81181227.avif,1,2,1,0,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0
23,0.9835,0.4514,36.819,10.1658,120.0,3.0,2.0,0,0.5,0.5524,2.0,2562.03,0.2694,4,0,420000.0,https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885559.avif,https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885559.avif | https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885560.avif | https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885561.avif | https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885562.avif,1,2,1,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0
23,0.9835,0.4514,36.819,10.1658,175.0,3.0,2.0,0,0.5,0.5524,2.0,2562.03,0.2694,4,0,940000.0,https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869506.avif,https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869506.avif | https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869507.avif | https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869508.avif | https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869509.avif,1,2,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
23,0.9835,0.4514,36.819,10.1658,158.0,3.0,2.0,0,0.5,0.5524,2.0,2562.03,0.2694,4,0,675000.0,https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869974.avif,https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869974.avif | https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869976.avif | https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869977.avif | https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869978.avif,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0
1,0.447,0.2577,36.899,10.2358,106.0,3.0,2.0,0,0.5,0.4235,2.0,43985.0,0.3589,4,0,686653.0,https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462034.avif,https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_1faa8bf4_81462034.avif | https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_41e372a0_81462035.avif | https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_cd29713e_81462036.avif | https://www.mubawab-media.com/ad/8/257/516F/h/WhatsApp%20Image%202025-11-13%20%C3%A0%2011.33.43_e154bac4_81462037.avif,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0
1,0.447,0.2139,36.899,10.2358,109.0,3.0,2.0,0,0.5,0.4235,2.0,43985.0,0.3152,4,0,367000.0,https://www.mubawab-media.com/ad/8/180/401F/h/e4ee229c-3ddd-4485-99e4-4f5d8869b7af_6636d6a0-d58f-432a-aed7-42aced5760e6_80666392.avif,https://www.mubawab-media.com/ad/8/180/401F/h/e4ee229c-3ddd-4485-99e4-4f5d8869b7af_6636d6a0-d58f-432a-aed7-42aced5760e6_80666392.avif | https://www.mubawab-media.com/ad/8/180/401F/h/4bbdf039-ce16-4405-a596-500503586917_150693cb-102c-441f-9fb8-92ab3a087cba_80666393.avif | https://www.mubawab-media.com/ad/8/180/401F/h/65d7db96-a94e-4075-a825-f72857f0f741_3d5ef522-238c-4fb6-9c61-856e4b4f0e98_80666394.avif | https://www.mubawab-media.com/ad/8/180/401F/h/83e1e4aa-297f-44db-8522-af558be1f5f8_48ef633f-5bde-400b-89aa-c9b0e1af72c4_80666395.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0.447,0.2139,36.899,10.2358,136.0,4.0,3.0,0,0.5,0.4235,2.0,43985.0,0.312,4,0,430000.0,https://www.mubawab-media.com/ad/8/192/096F/h/e0a1c722-ed89-4176-989e-3a449d759690_81976609.avif,https://www.mubawab-media.com/ad/8/192/096F/h/e0a1c722-ed89-4176-989e-3a449d759690_81976609.avif | https://www.mubawab-media.com/ad/8/192/096F/h/5f699f95-fa1d-4dfa-9389-e354473ca279_81976610.avif | https://www.mubawab-media.com/ad/8/192/096F/h/7c0b3794-9628-465d-91d1-9334ce91f723_81976611.avif | https://www.mubawab-media.com/ad/8/192/096F/h/7f5da5b8-3c87-41c9-8bce-9142443f7a17_81976612.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
23,0.6177,0.8288,36.8769,10.3247,243.0,2.0,2.0,1,0.5,0.8015,2.0,2562.03,0.3112,2,0,1300000.0,https://www.mubawab-media.com/ad/8/167/195F/h/thumb_1019275_property_large_80531986.avif,https://www.mubawab-media.com/ad/8/167/195F/h/thumb_1019275_property_large_80531986.avif | https://www.mubawab-media.com/ad/8/167/195F/h/thumb_1019287_property_large_80531987.avif,1,2,0,0,1,0,0,1,0,1,1,1,0,0,0,0,0,0,0
23,0.6177,0.8288,36.8769,10.3247,297.0,4.0,3.0,0,0.5,0.8015,2.0,2562.03,0.3152,4,0,1200000.0,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif,https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150624_property_large_80906258.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150623_property_large_80906259.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1150626_property_large_80906260.avif | https://www.mubawab-media.com/ad/8/204/503F/h/thumb_1143711_property_xlarge_81282248.avif,1,2,1,0,1,0,1,1,0,0,0,0,0,0,1,0,0,0,0
1,0.447,0.2139,36.899,10.2358,110.0,3.0,2.0,1,0.5,0.4235,2.0,43985.0,0.3152,4,0,395000.0,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif,https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03%20%285%29_81754905.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.03_81754906.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.02_81754907.avif | https://www.mubawab-media.com/ad/8/283/546F/h/WhatsApp%20Image%202026-01-07%20at%2011.02.02%20%282%29_81754908.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0.447,0.2139,36.899,10.2358,100.0,2.0,1.0,1,0.5,0.4235,2.0,43985.0,0.2738,4,0,345000.0,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif,https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%288%29_81829679.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%2811%29_81829680.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%2810%29_81829681.avif | https://www.mubawab-media.com/ad/8/290/691F/h/WhatsApp%20Image%202026-01-23%20at%2012.00.21%20%289%29_81829682.avif,1,2,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0
23,0.9835,0.4514,36.819,10.1658,52.0,3.0,1.0,1,0.5,0.5524,2.0,2562.03,0.3459,4,0,306000.0,https://www.mubawab-media.com/ad/7/907/095F/h/Capture%20d%27%C3%A9cran%202025-12-19%20104524_81739768.avif,https://www.mubawab-media.com/ad/7/907/095F/h/Capture%20d%27%C3%A9cran%202025-12-19%20104524_81739768.avif | https://www.mubawab-media.com/ad/7/907/095F/h/Capture%20d%27%C3%A9cran%202025-12-19%20104546_81739769.avif | https://www.mubawab-media.com/ad/7/907/095F/h/Capture%20d%27%C3%A9cran%202025-12-19%20104501_81739770.avif | https://www.mubawab-media.com/ad/7/907/095F/h/Cam01%20Finale8K%20%281%29_81739771.avif,1,2,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
1,0.447,0.2139,36.899,10.2358,79.0,2.0,1.0,1,0.5,0.4235,2.0,43985.0,0.2976,4,0,312000.0,https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279280_property_xlarge_81979983.avif,https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279280_property_xlarge_81979983.avif | https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279281_property_xlarge_81979984.avif | https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279283_property_xlarge_81979985.avif | https://www.mubawab-media.com/ad/8/304/711F/h/thumb_1279286_property_xlarge_81979986.avif,1,2,1,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0
