gouvernorat_enc,ville_enc,lat,lon,surface_m2,score_attractivite,market_tension,prix_region_median,text_embedding_score,nb_images,source_enc,type_transaction,has_vue_mer,has_vue_montagne,prix,image_url,images
1,0.1206,36.8665,10.1647,485.0,0.5,0.247,43985.0,0.2754,2,0,2,0,0,111000.0,https://www.mubawab-media.com/ad/8/280/906F/h/WhatsApp%20Image%202026-01-05%20at%2017.26.26_81730380.avif,https://www.mubawab-media.com/ad/8/280/906F/h/WhatsApp%20Image%202026-01-05%20at%2017.26.26_81730380.avif | https://www.mubawab-media.com/ad/8/280/906F/h/WhatsApp%20Image%202026-01-05%20at%2017.32.53g_81730109.avif
15,0.4849,35.7643,10.8113,1277.0,0.5,0.3655,134734.0,0.2778,1,0,2,0,0,950000.0,https://www.mubawab-media.com/ad/8/239/703F/h/gallery_81279486.avif,https://www.mubawab-media.com/ad/8/239/703F/h/gallery_81279486.avif
15,0.4849,35.7643,10.8113,1115.0,0.5,0.3655,134734.0,0.2778,1,0,2,0,0,980000.0,https://www.mubawab-media.com/ad/8/278/630F/h/gallery_81701509.avif,https://www.mubawab-media.com/ad/8/278/630F/h/gallery_81701509.avif
23,0.6007,36.77,10.23,876.0,0.5,0.2779,2562.03,0.3085,1,0,2,0,0,1400000.0,https://www.mubawab-media.com/ad/8/304/899F/h/thumb_1280156_property_large_81981761.avif,https://www.mubawab-media.com/ad/8/304/899F/h/thumb_1280156_property_large_81981761.avif
23,0.5926,36.844,10.3247,595.0,0.5,0.5305,2562.03,0.3176,4,0,2,0,0,890000.0,nan,https://www.mubawab-media.com/promotion/4/174F/pictures/h/WhatsApp%20Image%202024-09-16%20%C3%A0%2021.12.56_5783f9e2_78929349.avif | https://www.mubawab-media.com/promotion/4/174F/pictures/h/WhatsApp%20Image%202024-09-16%20%C3%A0%2021.13.11_a08a4fa5_78929363.avif | https://www.mubawab-media.com/promotion/4/174F/pictures/h/WhatsApp%20Image%202024-09-16%20%C3%A0%2021.13.10_402ab0a0_78929356.avif | https://www.mubawab-media.com/promotion/4/174F/pictures/h/WhatsApp%20Image%202024-09-16%20%C3%A0%2021.12.20_007691ed_78929350.avif
15,0.4849,35.7643,10.8113,1006.0,0.5,0.3655,134734.0,0.2706,1,0,2,0,0,800000.0,https://www.mubawab-media.com/ad/8/167/297F/h/terrain%20a%20vendre_80533065.avif,https://www.mubawab-media.com/ad/8/167/297F/h/terrain%20a%20vendre_80533065.avif
16,0.0756,36.4561,10.7376,5000.0,0.5,0.4552,154974.0,0.3132,1,0,2,0,0,6000000.0,https://www.mubawab-media.com/ad/8/302/313F/h/beaux-champs-verts-ciel-bleu-panneau-land-for-sale_1078186-5%281%29_81956421.avif,https://www.mubawab-media.com/ad/8/302/313F/h/beaux-champs-verts-ciel-bleu-panneau-land-for-sale_1078186-5%281%29_81956421.avif
16,0.0756,36.4561,10.7376,5180.0,0.5,0.4552,154974.0,0.3113,1,0,2,0,0,3626000.0,https://www.mubawab-media.com/ad/8/255/529F/h/affiche%20terrain%201_81442190.avif,https://www.mubawab-media.com/ad/8/255/529F/h/affiche%20terrain%201_81442190.avif
16,0.0756,36.4561,10.7376,2000.0,0.5,0.4552,154974.0,0.3192,1,0,2,0,0,5000000.0,https://www.mubawab-media.com/ad/8/302/226F/h/IMG-20251222-WA0005_81955512.avif,https://www.mubawab-media.com/ad/8/302/226F/h/IMG-20251222-WA0005_81955512.avif
16,0.0756,36.4561,10.7376,660.0,0.5,0.4552,154974.0,0.3081,1,0,2,0,0,700000.0,https://www.mubawab-media.com/ad/8/300/588F/h/beaux-champs-verts-ciel-bleu-panneau-land-for-sale_1078186-5%281%29_81938495.avif,https://www.mubawab-media.com/ad/8/300/588F/h/beaux-champs-verts-ciel-bleu-panneau-land-for-sale_1078186-5%281%29_81938495.avif
16,0.0756,36.4561,10.7376,381.0,0.5,0.4552,154974.0,0.3188,1,0,2,0,0,685000.0,https://www.mubawab-media.com/ad/8/283/178F/h/thumb_1235926_property_large_81750988.avif,https://www.mubawab-media.com/ad/8/283/178F/h/thumb_1235926_property_large_81750988.avif
16,0.0756,36.4561,10.7376,432.0,0.5,0.4552,154974.0,0.322,1,0,2,0,0,648000.0,https://www.mubawab-media.com/ad/8/264/837F/h/thumb_1219077_property_large_81550620.avif,https://www.mubawab-media.com/ad/8/264/837F/h/thumb_1219077_property_large_81550620.avif
16,0.0756,36.4561,10.7376,331.0,0.5,0.4552,154974.0,0.3176,1,0,2,0,0,570000.0,https://www.mubawab-media.com/ad/7/805/469F/h/Brown%20Simple%20Home%20For%20Sale%20Facebook%20Post_80368273.avif,https://www.mubawab-media.com/ad/7/805/469F/h/Brown%20Simple%20Home%20For%20Sale%20Facebook%20Post_80368273.avif
23,0.6007,36.819,10.1658,120.0,0.5,0.3526,2562.03,0.2746,1,0,2,0,0,500000.0,https://www.mubawab-media.com/ad/8/301/584F/h/1000051798_81948591.avif,https://www.mubawab-media.com/ad/8/301/584F/h/1000051798_81948591.avif
1,0.1785,36.8665,10.1647,1000.0,0.5,0.1543,43985.0,0.277,4,0,2,0,0,160000.0,https://www.mubawab-media.com/ad/8/263/584F/h/1_81535166.avif,https://www.mubawab-media.com/ad/8/263/584F/h/1_81535166.avif | https://www.mubawab-media.com/ad/8/263/584F/h/3_81535172.avif | https://www.mubawab-media.com/ad/8/263/584F/h/2_81535168.avif | https://www.mubawab-media.com/ad/8/263/584F/h/4_81535167.avif
1,0.1785,36.8665,10.1647,10400.0,0.5,0.1543,43985.0,0.3128,4,0,2,0,0,320000.0,https://www.mubawab-media.com/ad/8/263/578F/h/366851_20250912_200207_81535051.avif,https://www.mubawab-media.com/ad/8/263/578F/h/366851_20250912_200207_81535051.avif | https://www.mubawab-media.com/ad/8/263/578F/h/366851_20250912_200250_81535052.avif | https://www.mubawab-media.com/ad/8/263/578F/h/366851_20250912_200302_81535053.avif | https://www.mubawab-media.com/ad/8/263/578F/h/366851_20250912_200207_81535054.avif
16,0.0756,36.4561,10.7376,1127.0,0.5,0.4552,154974.0,0.3192,4,0,2,0,0,370000.0,https://www.mubawab-media.com/ad/8/226/859F/h/20230412_183802_81142474.avif,https://www.mubawab-media.com/ad/8/226/859F/h/20230412_183802_81142474.avif | https://www.mubawab-media.com/ad/8/226/859F/h/20230412_183611_81142475.avif | https://www.mubawab-media.com/ad/8/226/859F/h/20230412_183626_81142476.avif | https://www.mubawab-media.com/ad/8/226/859F/h/20230412_183648_81142477.avif
13,0.1514,36.8,10.1,200.0,0.5,0.2875,110184.0,0.3152,4,0,2,0,0,196000.0,https://www.mubawab-media.com/ad/8/106/117F/h/1c76d4d0-bd72-4e58-bc81-8f9627247a86_79905864.avif,https://www.mubawab-media.com/ad/8/106/117F/h/1c76d4d0-bd72-4e58-bc81-8f9627247a86_79905864.avif | https://www.mubawab-media.com/ad/8/106/117F/h/e30c1fb0-b0b9-4e9b-9abb-70753faf3a43_79905865.avif | https://www.mubawab-media.com/ad/8/106/117F/h/dca32dfc-ec5e-4dc0-b031-dcc29ce067a0_79905866.avif | https://www.mubawab-media.com/ad/8/106/117F/h/92eaaf6f-e85c-4155-bb46-2d4c25723771_79905867.avif
16,0.0756,36.4561,10.7376,698.0,0.5,0.4552,154974.0,0.288,3,0,2,0,0,975000.0,https://www.mubawab-media.com/ad/8/305/186F/h/thumb_1280553_property_xlarge_81984870.avif,https://www.mubawab-media.com/ad/8/305/186F/h/thumb_1280553_property_xlarge_81984870.avif | https://www.mubawab-media.com/ad/8/305/186F/h/thumb_1280526_property_xlarge_81984871.avif | https://www.mubawab-media.com/ad/8/305/186F/h/thumb_1280527_property_xlarge_81984872.avif
16,0.2753,36.4561,10.7376,330.0,0.5,0.4454,154974.0,0.3136,1,0,2,0,0,550000.0,https://www.mubawab-media.com/ad/8/252/456F/h/1000_F_116801095_yK5XMGQcHiRtAj6ewLNtBQ2iasP1m7sa_81410374.avif,https://www.mubawab-media.com/ad/8/252/456F/h/1000_F_116801095_yK5XMGQcHiRtAj6ewLNtBQ2iasP1m7sa_81410374.avif
16,0.2753,36.4561,10.7376,456.0,0.5,0.4454,154974.0,0.3102,1,0,2,0,0,800000.0,https://www.mubawab-media.com/ad/8/255/614F/h/affiche%20vente2_81443061.avif,https://www.mubawab-media.com/ad/8/255/614F/h/affiche%20vente2_81443061.avif
16,0.2753,36.4561,10.7376,547.0,0.5,0.4454,154974.0,0.3148,2,0,2,0,0,720000.0,https://www.mubawab-media.com/ad/8/207/030F/h/t%C3%A9l%C3%A9chargement_80930921.avif,https://www.mubawab-media.com/ad/8/207/030F/h/t%C3%A9l%C3%A9chargement_80930921.avif | https://www.mubawab-media.com/ad/8/207/030F/h/photo_ac9c7bb615c9192c7d11f270b13182df_80947173.avif
16,0.0756,36.4561,10.7376,1750.0,0.5,0.4552,154974.0,0.3176,1,0,2,0,0,5000000.0,https://www.mubawab-media.com/ad/8/302/696F/h/affiche2_81960351.avif,https://www.mubawab-media.com/ad/8/302/696F/h/affiche2_81960351.avif
16,0.2753,36.844,10.3247,13000.0,0.5,0.5305,2562.03,0.3176,1,0,2,0,0,8500000.0,https://www.mubawab-media.com/ad/8/302/995F/h/affiche2_81963269.avif,https://www.mubawab-media.com/ad/8/302/995F/h/affiche2_81963269.avif
23,0.5926,36.844,10.3247,595.0,0.5,0.5305,2562.03,0.3176,4,0,2,0,0,240000.0,nan,https://www.mubawab-media.com/promotion/4/547F/pictures/h/MARBELLA_81612983.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/1010_81618564.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/Rendu%20Marbella_Hall%20d%27accueil_05_81612984.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/Rendu%20Marbella_Hall%20d%27accueil_02%20_81612985.avif
1,0.4514,36.899,10.2358,404.0,0.5,0.4235,43985.0,0.3152,1,0,2,0,0,343400.0,https://www.mubawab-media.com/ad/8/233/878F/h/thumb_1183776_property_xlarge_81219321.avif,https://www.mubawab-media.com/ad/8/233/878F/h/thumb_1183776_property_xlarge_81219321.avif
23,0.3221,36.819,10.1658,272.0,0.5,0.5524,2562.03,0.2778,1,0,2,0,0,480000.0,https://www.mubawab-media.com/ad/8/299/226F/h/gallery_81925078.avif,https://www.mubawab-media.com/ad/8/299/226F/h/gallery_81925078.avif
1,0.4514,36.899,10.2358,700.0,0.5,0.4235,43985.0,0.2758,3,0,2,0,0,840000.0,https://www.mubawab-media.com/ad/8/128/562F/h/thumb_1074519_property_large_80132757.avif,https://www.mubawab-media.com/ad/8/128/562F/h/thumb_1074519_property_large_80132757.avif | https://www.mubawab-media.com/ad/8/128/562F/h/thumb_1074518_property_large_80132756.avif | https://www.mubawab-media.com/ad/8/128/562F/h/thumb_1074520_property_large_80132758.avif
1,0.4498,36.8665,10.1647,2500.0,0.5,0.5305,43985.0,0.3132,4,0,2,0,0,3750000.0,https://www.mubawab-media.com/ad/8/304/357F/h/1_81977070.avif,https://www.mubawab-media.com/ad/8/304/357F/h/1_81977070.avif | https://www.mubawab-media.com/ad/8/304/357F/h/2_81977071.avif | https://www.mubawab-media.com/ad/8/304/357F/h/3_81977072.avif | https://www.mubawab-media.com/ad/8/304/357F/h/4_81977073.avif
1,0.4498,36.8665,10.1647,850.0,0.5,0.5305,43985.0,0.3098,4,0,2,0,0,1105000.0,https://www.mubawab-media.com/ad/7/926/827F/h/1_76145209.avif,https://www.mubawab-media.com/ad/7/926/827F/h/1_76145209.avif | https://www.mubawab-media.com/ad/7/926/827F/h/2_76145210.avif | https://www.mubawab-media.com/ad/7/926/827F/h/3_76145211.avif | https://www.mubawab-media.com/ad/7/926/827F/h/4_76145212.avif
16,0.0756,36.4561,10.7376,900.0,0.5,0.4552,154974.0,0.3302,1,0,2,0,0,810000.0,https://www.mubawab-media.com/ad/8/244/772F/h/photo_0_81332440.avif,https://www.mubawab-media.com/ad/8/244/772F/h/photo_0_81332440.avif
20,0.2684,35.8245,10.6346,1772.0,0.5,0.517,150620.48,0.2746,1,0,2,0,0,900000.0,https://www.mubawab-media.com/ad/8/253/407F/h/Capture%20d%E2%80%99%C3%A9cran%202025-11-10%20035214_81420126.avif,https://www.mubawab-media.com/ad/8/253/407F/h/Capture%20d%E2%80%99%C3%A9cran%202025-11-10%20035214_81420126.avif
16,0.2753,36.4561,10.7376,9460.0,0.5,0.4454,154974.0,0.318,3,0,2,0,0,420000.0,https://www.mubawab-media.com/ad/8/255/739F/h/thumb_1211219_property_large_81444381.avif,https://www.mubawab-media.com/ad/8/255/739F/h/thumb_1211219_property_large_81444381.avif | https://www.mubawab-media.com/ad/8/255/739F/h/thumb_1211221_property_large_81444382.avif | https://www.mubawab-media.com/ad/8/255/739F/h/thumb_1211220_property_large_81444380.avif
16,0.2753,36.4561,10.7376,10600.0,0.5,0.4454,154974.0,0.3176,4,0,2,0,0,865000.0,https://www.mubawab-media.com/ad/8/059/361F/h/thumb_871673_property_large_79451810.avif,https://www.mubawab-media.com/ad/8/059/361F/h/thumb_871673_property_large_79451810.avif | https://www.mubawab-media.com/ad/8/059/361F/h/thumb_871672_property_large_79451811.avif | https://www.mubawab-media.com/ad/8/059/361F/h/thumb_871674_property_large_79451812.avif | https://www.mubawab-media.com/ad/8/059/361F/h/thumb_871675_property_large_79451813.avif
1,0.1206,36.8665,10.1647,23782.0,0.5,0.247,43985.0,0.3188,1,0,2,0,0,2853840.0,https://www.mubawab-media.com/ad/8/304/965F/h/terrain_81982523.avif,https://www.mubawab-media.com/ad/8/304/965F/h/terrain_81982523.avif
23,0.5926,36.8769,10.3247,325.0,0.5,0.8015,2562.03,0.2924,4,0,2,0,0,455000.0,https://www.mubawab-media.com/ad/8/038/420F/h/64a5bd3a-527b-495d-af48-a10ba67556ff_GF_79242712.avif,https://www.mubawab-media.com/ad/8/038/420F/h/64a5bd3a-527b-495d-af48-a10ba67556ff_GF_79242712.avif | https://www.mubawab-media.com/ad/8/038/420F/h/0bf7771e-a840-4389-a350-38bff40db408_GF_79242713.avif | https://www.mubawab-media.com/ad/8/038/420F/h/5b01013f-ace9-45e9-9749-0709368aeaf7_GF_79242714.avif | https://www.mubawab-media.com/ad/8/038/420F/h/64a5bd3a-527b-495d-af48-a10ba67556ff_GF_79242715.avif
