id,type_annonce,type_bien,description,prix_affiche,devise,ville,gouvernorat,localisation_complete,image_url
4262442137376926,Location,Appartement,307 000 TND Appartement à vendre Tunis,307 000 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/628185622_1702320484471945_6753925331155700846_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=92e707&_nc_ohc=_IeAxDMdPhkQ7kNvwFoEUTu&_nc_oc=Adn-rnyQzxEYt0kdImrKvOJ7-uBv9LBAslBS5vTZKq_uO2p4VXKgQ16SG1x1u_kHyhc&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfvGHx7To3moSbw6mvFJw7NsNE-s7cy8zCJuzMI8QgF4xA&oe=6999661C
1661559395254811,Location,Maison/Villa,750 TND À louer une coquette maison à raoued Ariana,750 TND,TND,Ariana,Ariana,Ariana,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/615423962_2117669582383060_3323968636411861454_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=106&ccb=1-7&_nc_sid=92e707&_nc_ohc=lvNNGxvk51QQ7kNvwE3ic4B&_nc_oc=Adljlde71E_P_8ae5C7ZWFNOvgtamuSVgv-C7nyoTlFtUOoIxvRseQUu1KWrChWxF-U&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfuFgs0a1pkKZP2hdvWBqWm9fggnqObDJGBU8unfebV9Pg&oe=69996C36
1668840164481130,Location,Maison/Villa,Gratuit Maison S+2 meublee a louer a borj louzir Ariana pour contact uniquement par TEL: 97000661 Ariana,,TND,Ariana,Ariana,Ariana,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/633473271_4344003649203580_3377535407481423636_n.jpg?stp=c0.43.261.261a_dst-jpg_p261x260_tt6&_nc_cat=110&ccb=1-7&_nc_sid=92e707&_nc_ohc=55mj4aRhHRkQ7kNvwG31kda&_nc_oc=AdkEsa60ULmUHoGU041lmsNyQE9WrEgi2QX29BqyIWcX4q5AD7aPi3PAE4hjgC8iLyQ&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_Afu-31mXQ4sQ7aO9D69P2aVDXQGDJRZijKak5cYXzOHUsw&oe=69995B76
1911571139624451,Location,Maison/Villa,1 100 TND طابق فيلا etage de Villa Gammarth,1 100 TND,TND,Non spécifié,Tunisie,Tunisie,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/524385782_3818497668450623_1986064439174797630_n.jpg?stp=c0.88.752.752a_dst-jpg_s261x260_tt6&_nc_cat=105&ccb=1-7&_nc_sid=454cf4&_nc_ohc=vAnTMH0cylsQ7kNvwFHLZS9&_nc_oc=Adkzs8QbXb3Fd_bfifzYrsq9Sl0kMr93YwVLaqMxPIvTDoan3A3dXUAAuaF70QGaeWw&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_Afs9AA6IMf25rsTJAxif_DdnAjm-XiH_atRpYgQdAqnrsg&oe=69993D0C
2125330761326845,Location,Duplex,2 500 TND Alouer duplex s+4 avec jardin a ain Zaghouan nord Le Kram,2 500 TND,TND,Zaghouan nord,Zaghouan,"Zaghouan nord, Zaghouan",https://scontent.ftun9-1.fna.fbcdn.net/v/t39.84726-6/567512508_25059879157039731_1385595497311718551_n.jpg?stp=c43.0.260.260a_dst-jpg_p261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=92e707&_nc_ohc=5mYF6nq4SgEQ7kNvwEswTOa&_nc_oc=Adn-DE7upGcBg52uwNtuKGHufD_98ctUVj72t90KlaMWj-U20oy_tLVpFJBlByKMYyM&_nc_zt=14&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_Afuh4ttTdsGU6KQyx2DnzXMA0GORFF96cPCq9U2NjfSWwg&oe=69995805
1600942681048398,Location,Appartement S+3,800 TND S+3 منزل للكراء ارضي حي الصحة العقبة 50647446 Tunis,800 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/634199930_932118429389813_3092989476813839310_n.jpg?stp=c0.172.1520.1520a_dst-jpg_s261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=946e27&_nc_ohc=t6bjQWXADJoQ7kNvwF4P2MX&_nc_oc=AdkfX6hxrOqxsMx9rsUWW9pH8QziZAcYAagJc56lPi4frFc86n60sCN--kx1RZGl2og&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_Afs6r4Lec0uV_vRUeCH-Dj2KflShnUTHjbmn_61jKX78aA&oe=699955F8
26202787939309741,Location,Appartement S+4+,2 750 TND 3 000 TND À loué s+4 à la marsa,2 750 TND,TND,Non spécifié,Tunisie,Tunisie,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/606884266_1620212852473598_4764677967512859328_n.jpg?stp=c200.0.1200.1200a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=6wJogFPelNcQ7kNvwE2Kkfl&_nc_oc=AdkpTwKvoO_NPCx_9X_gr2Gdvotzomnbn2uBaywboGuGcyHiM5ZoENOoAO_EwWee56o&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfvFBi6m9-4hoBtq7vWUkro-TAOD9qUpOr7FRPUVgel6RA&oe=69994CF4
1534985424260934,Location,Appartement S+1,Gratuit s+1 a riadh landaloss Ariana,,TND,Ariana,Ariana,Ariana,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/631735596_122163155096677396_6293499013203664561_n.jpg?stp=c0.95.867.867a_dst-jpg_s261x260_tt6&_nc_cat=108&ccb=1-7&_nc_sid=454cf4&_nc_ohc=GtJINvjE87oQ7kNvwED_T3M&_nc_oc=AdmF_G7yNuzpAENqrLq2utsesN4wui2IP6IvWOBeYyWkhMhQB42QGh8SRk-c0OPuUjQ&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfuDsnXeLdrIDI-mtUFVnwtUu6xzMHPfKNZyVZCX3bE0TQ&oe=6999672C
1506377763352530,Location,Appartement S+2,550 TND s+2 a louer Tunis,550 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/513819804_10057560064310760_8083087719690991816_n.jpg?stp=c0.438.1080.1080a_dst-jpg_s261x260_tt6&_nc_cat=101&ccb=1-7&_nc_sid=946e27&_nc_ohc=UOOGadFN2J0Q7kNvwHMWzFx&_nc_oc=Adku9G-0ah8cFmQNZXqZ3MZAUwcWSLXX1oNuJ5jB4WmlcyUM3OICvjgjQH1h27FM7Pg&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AftRi5sYdup1PjFHBQJL_Pzt5R7V3pabzAil8fV9i9oiHg&oe=69996807
1432433831170578,Location,Autre,1 800 TND Berges du lac Tunis,1 800 TND,TND,Tunis,Tunis,Tunis,https://scontent.ftun9-1.fna.fbcdn.net/v/t39.30808-6/576563506_25597050039879158_7867914064302731495_n.jpg?stp=c0.84.768.768a_dst-jpg_s261x260_tt6&_nc_cat=100&ccb=1-7&_nc_sid=454cf4&_nc_ohc=Dbn8tAzhl_oQ7kNvwGoU8q_&_nc_oc=AdkQm-hwYTrV1DyAl_whRgS2wmiB9D64i3OGOrqH3mnB_WvXYql8vLW_7126fZbqX_0&_nc_zt=23&_nc_ht=scontent.ftun9-1.fna&_nc_gid=MN-9Yu4biAXC_eHVeqVTpA&oh=00_AfsxRymBvNaaYTG1soLpgnQMI7HwBHRevfh-GuGkOk_fiQ&oe=699965DC
