etat_score,etat_prob_renove,standing_score,standing_prob_luxe
1,0.5517,3,0.3524
1,0.6395,3,0.3743
1,0.6399,3,0.3865
1,0.5096,3,0.3408
1,0.7388,2,0.3559
0,0.4729,1,0.3207
1,0.6501,3,0.3785
1,0.6551,2,0.3567
1,0.6452,3,0.3717
1,0.8175,2,0.3642
1,0.508,3,0.3441
1,0.6624,3,0.3658
1,0.6841,3,0.3647
1,0.6375,2,0.3577
1,0.6467,3,0.3861
1,0.6189,3,0.3871
1,0.6068,3,0.3794
1,0.5232,3,0.3575
1,0.7412,2,0.3691
1,0.6119,2,0.3578
1,0.6966,2,0.3712
1,0.5292,2,0.3399
1,0.6388,2,0.3152
1,0.5672,2,0.3253
1,0.5412,3,0.3611
1,0.7359,2,0.3591
1,0.5405,3,0.3544
1,0.5282,3,0.3524
1,0.5517,3,0.3524
1,0.6395,3,0.3743
0,0.4729,1,0.3207
1,0.5282,3,0.3618
1,0.508,3,0.3441
1,0.6467,3,0.3861
1,0.6189,3,0.3871
1,0.6068,3,0.3794
1,0.6599,2,0.3315
1,0.7269,3,0.4035
1,0.6388,3,0.3755
1,0.6449,2,0.3712
1,0.5647,3,0.3692
1,0.7303,2,0.3659
1,0.7703,3,0.4081
1,0.6542,2,0.3633
1,0.6527,2,0.3615
1,0.5289,2,0.3428
1,0.7036,2,0.3657
1,0.669,3,0.38
1,0.6773,2,0.3609
1,0.6706,3,0.3718
1,0.6395,3,0.3743
1,0.6399,3,0.3865
1,0.5422,3,0.3687
1,0.6406,2,0.3312
0,0.4729,1,0.3207
1,0.5282,3,0.3618
1,0.6364,2,0.3755
1,0.5544,2,0.342
1,0.6906,3,0.3841
1,0.6275,2,0.3353
1,0.5544,3,0.3571
1,0.8124,3,0.3901
1,0.635,3,0.3963
1,0.6792,3,0.3886
1,0.6421,2,0.3093
1,0.651,2,0.3579
1,0.7902,2,0.3886
1,0.8072,2,0.4081
1,0.5263,2,0.3207
1,0.5442,3,0.345
1,0.5101,2,0.3256
1,0.6575,2,0.3611
1,0.6985,2,0.3533
1,0.6406,2,0.3312
1,0.6882,2,0.3681
1,0.6705,2,0.3508
1,0.6759,2,0.3572
1,0.6946,3,0.3958
0,0.4729,1,0.3207
1,0.5448,3,0.3509
1,0.5373,2,0.3494
1,0.5869,2,0.3358
1,0.675,2,0.3658
1,0.6375,2,0.3387
1,0.6962,3,0.3974
1,0.5373,2,0.3462
1,0.5768,3,0.3818
1,0.6419,2,0.3147
1,0.5649,3,0.364
1,0.6756,3,0.3853
1,0.6412,2,0.3443
1,0.6109,2,0.3487
1,0.6585,3,0.3767
1,0.5758,2,0.3297
1,0.688,2,0.3471
1,0.5484,2,0.3507
1,0.6529,2,0.363
1,0.6005,3,0.3624
1,0.6837,3,0.4024
1,0.6639,3,0.3714
1,0.7102,2,0.3544
1,0.5985,2,0.3491
0,0.4729,1,0.3207
1,0.7222,3,0.408
1,0.5373,2,0.3494
1,0.5627,3,0.3738
1,0.6188,3,0.3489
1,0.6705,2,0.3494
1,0.5516,3,0.3554
1,0.7125,2,0.3571
1,0.5637,3,0.386
1,0.5226,2,0.3481
1,0.7684,2,0.3713
1,0.6684,2,0.3474
1,0.5079,3,0.3375
1,0.5707,3,0.3817
1,0.5096,3,0.3408
1,0.7222,3,0.408
0,0.4729,1,0.3207
0,0.4729,2,0.3932
1,0.6696,3,0.3803
0,0.4729,1,0.3207
1,0.5086,3,0.3604
1,0.5738,3,0.3603
1,0.5939,3,0.3877
1,0.7281,3,0.4086
1,0.7436,3,0.4141
1,0.5708,3,0.3643
0,0.4729,3,0.4092
1,0.6824,2,0.3505
1,0.6809,3,0.3789
1,0.7109,2,0.3393
1,0.6783,3,0.3827
1,0.6253,2,0.3283
1,0.6311,2,0.35
1,0.7684,2,0.3713
1,0.6684,2,0.3474
1,0.5079,3,0.3375
1,0.7249,3,0.436
1,0.6041,2,0.3661
1,0.5096,3,0.3408
0,0.4729,1,0.3207
0,0.4729,2,0.3932
1,0.6696,3,0.3803
1,0.5086,3,0.3604
0,0.4729,1,0.3207
1,0.5923,3,0.4023
1,0.5373,2,0.3494
1,0.7074,3,0.425
1,0.7213,3,0.4014
1,0.5401,3,0.3516
1,0.5435,2,0.3439
0,0.4729,2,0.3755
1,0.686,3,0.3651
1,0.6502,2,0.3521
1,0.5454,3,0.3771
1,0.6902,3,0.4128
1,0.6989,2,0.3572
1,0.7249,3,0.436
1,0.7333,2,0.3729
1,0.6013,2,0.3311
1,0.6785,3,0.3871
1,0.6559,2,0.34
1,0.6197,3,0.4065
1,0.6951,3,0.3926
1,0.5986,3,0.3538
1,0.5329,3,0.3813
1,0.5739,2,0.3577
1,0.7192,2,0.3429
1,0.5738,3,0.3603
1,0.5717,2,0.3562
1,0.8029,3,0.4157
1,0.5879,2,0.3586
1,0.6402,2,0.355
1,0.6654,2,0.3278
1,0.6204,2,0.3358
1,0.6272,3,0.3605
1,0.6563,2,0.3265
1,0.673,3,0.4084
0,0.4729,3,0.3809
1,0.6704,2,0.3611
1,0.6277,3,0.3968
1,0.5203,3,0.3676
0,0.4729,1,0.3207
1,0.7454,2,0.3512
1,0.5951,3,0.382
1,0.6079,2,0.3607
1,0.5282,3,0.3618
1,0.5623,2,0.3147
1,0.6454,2,0.365
1,0.5781,2,0.3027
1,0.6972,3,0.4045
0,0.4729,1,0.3207
1,0.6822,2,0.3535
1,0.5373,2,0.3494
1,0.526,3,0.3544
1,0.7413,2,0.3833
1,0.6764,3,0.3914
1,0.6484,2,0.3093
0,0.4729,1,0.3207
1,0.6675,2,0.3584
1,0.6188,2,0.353
1,0.6163,2,0.3509
1,0.5187,3,0.3654
1,0.6395,2,0.3623
1,0.626,2,0.3434
1,0.6437,2,0.3637
1,0.6195,3,0.3818
1,0.5282,3,0.3618
1,0.6547,2,0.3599
1,0.6353,3,0.3653
1,0.7563,2,0.3874
1,0.6747,2,0.351
1,0.5818,3,0.3859
1,0.6364,2,0.3755
1,0.5728,3,0.3861
0,0.4729,1,0.3207
1,0.6691,3,0.3641
1,0.7141,2,0.3829
1,0.7298,2,0.3848
1,0.6896,2,0.3106
1,0.7146,2,0.3876
1,0.6863,3,0.4055
1,0.6375,3,0.3985
1,0.6332,3,0.3811
1,0.6909,2,0.3636
1,0.6663,2,0.3341
1,0.5934,3,0.3616
0,0.4729,1,0.3207
1,0.6386,3,0.3773
1,0.7284,2,0.3763
1,0.6556,2,0.3442
0,0.4729,1,0.3207
1,0.6263,3,0.3951
1,0.5717,2,0.3562
1,0.546,3,0.3568
1,0.6532,3,0.3775
1,0.6702,2,0.3505
1,0.684,2,0.3535
1,0.6566,2,0.327
0,0.4753,3,0.3632
1,0.5884,3,0.3561
1,0.6572,2,0.3591
1,0.543,3,0.3459
1,0.5691,2,0.3502
1,0.6789,3,0.3703
1,0.7221,3,0.4066
1,0.6021,3,0.3885
1,0.7134,3,0.3801
1,0.6005,3,0.3624
