gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,has_jardin,has_garage,has_piscine,has_terrasse,has_vue_mer,has_securite,has_meuble,has_climatisation,has_chauffage,has_cuisine_equip,has_double_vitrage,has_cheminee,has_standing,has_vue_montagne,prix,image_url
16,0.1434,36.4561,10.7376,500.0,4.0,3.0,0.5,0.4454,2.0,154974.0,0.314,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1700000.0,https://www.mubawab-media.com/ad/8/304/046F/h/maison-vendre-signe-belle-maison-bois_476612-7692_81973848.avif
16,0.1512,36.4561,10.7376,110.0,3.0,2.0,0.5,0.4552,2.0,154974.0,0.3176,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2000000.0,https://www.mubawab-media.com/ad/8/302/059F/h/IMG_20260212_110526_744_81953795.avif
16,0.1512,36.4561,10.7376,260.0,4.0,4.0,0.5,0.4552,2.0,154974.0,0.342,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,685000.0,https://www.mubawab-media.com/ad/8/212/215F/h/757b8387-7982-42c5-9f24-58e4cb1e15a5_80986528.avif
13,0.3023,36.8,10.1,360.0,4.0,3.0,0.5,0.2476,2.0,110184.0,0.3188,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,900000.0,https://www.mubawab-media.com/ad/8/271/174F/h/WhatsApp%20Image%202025-12-11%20at%2009.28.08_81621009.avif
23,0.4138,36.8769,10.3247,140.0,5.0,4.0,0.5,0.8015,2.0,2562.03,0.3351,4,0,1,1,0,1,0,1,0,1,1,1,1,1,0,0,850000.0,https://www.mubawab-media.com/ad/8/295/317F/h/621156463_1586310719181480_7595501479568121445_n_81881076.avif
23,0.4138,36.819,10.2358,250.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,890000.0,nan
1,0.3333,36.899,10.2358,200.0,6.0,4.0,0.5,0.4235,2.0,43985.0,0.275,4,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,985000.0,https://www.mubawab-media.com/ad/8/118/749F/h/exterieur_81309311.avif
23,0.3217,36.819,10.1658,386.0,7.0,6.0,0.5,0.3526,2.0,2562.03,0.3121,4,0,0,1,1,1,0,1,0,1,1,1,0,0,0,0,950000.0,https://www.mubawab-media.com/ad/7/962/626F/h/logo1_81289879.avif
23,0.1996,36.819,10.1658,292.0,4.0,3.0,0.5,0.5524,2.0,2562.03,0.3836,4,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1380000.0,https://www.mubawab-media.com/ad/7/846/475F/h/1_77825753.avif
20,0.1192,36.8,10.1,160.0,3.0,3.0,0.5,0.2047,2.0,110184.0,0.318,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,380000.0,https://www.mubawab-media.com/ad/8/285/853F/h/WhatsApp%20Image%202025-12-01%20at%2015.25.49_81778561.avif
1,0.3333,36.899,10.2358,400.0,4.0,5.0,0.5,0.4235,2.0,43985.0,0.3152,2,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,850000.0,https://www.mubawab-media.com/ad/7/850/293F/h/thumb_742551_property_xlarge_65827112.avif
20,0.0659,36.8,10.1,145.0,7.0,6.0,0.5,0.334,2.0,110184.0,0.3057,4,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,275000.0,https://www.mubawab-media.com/ad/8/290/613F/h/Copie%20de%20Copie%20de%20Visuel%20Agences%20Sousse%20Corniche%20-%202026-01-28T155703.882_81858314.avif
23,0.4138,36.8769,10.3247,464.0,6.0,6.0,0.5,0.8015,2.0,2562.03,0.3281,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1400000.0,https://www.mubawab-media.com/ad/8/056/764F/h/thumb_973528_property_xlarge_79426135.avif
20,0.093,35.8245,10.6346,420.0,4.0,3.0,0.5,0.517,2.0,150620.48,0.3152,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,250000.0,https://www.mubawab-media.com/ad/8/247/986F/h/22_81424254.avif
1,0.3333,36.899,10.2358,314.0,4.0,5.0,0.5,0.4235,2.0,43985.0,0.3136,4,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1870000.0,https://www.mubawab-media.com/ad/8/168/231F/h/thumb_1116714_property_xlarge_80542054.avif
16,0.1512,36.819,10.2358,2400.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,4,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,2300000.0,https://www.mubawab-media.com/ad/8/190/865F/h/thumb_1132460_property_large_80770825.avif
14,0.1163,36.8,10.1,260.0,4.0,3.0,0.5,0.3307,2.0,110184.0,0.277,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,350000.0,https://www.mubawab-media.com/ad/8/302/655F/h/WhatsApp%20Image%202026-02-10%20at%2018.54.08_81959925.avif
1,0.3333,36.899,10.2358,245.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3384,4,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,780000.0,https://www.mubawab-media.com/ad/8/212/588F/h/thumb_1141057_property_xlarge_80990224.avif
23,1.0,36.8528,10.3247,538.0,4.0,3.0,0.5,0.5388,2.0,2562.03,0.3152,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1900000.0,https://www.mubawab-media.com/ad/8/287/142F/h/thumb_1240303_property_large_81792131.avif
16,0.1473,36.8,10.1,120.0,4.0,3.0,0.5,0.1622,2.0,110184.0,0.3184,4,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,190000.0,https://www.mubawab-media.com/ad/8/293/244F/h/photo_0_81970990.avif
23,0.4574,36.8,10.1,400.0,4.0,4.0,0.5,0.3453,2.0,110184.0,0.2774,4,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1300000.0,https://www.mubawab-media.com/ad/8/305/187F/h/thumb_1280451_property_xlarge_81984873.avif
3,0.0756,36.819,10.2358,250.0,1.0,1.0,0.5,0.517,2.0,43985.0,0.3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4650000.0,https://www.mubawab-media.com/ad/8/305/070F/h/2026-5_81983480.avif
1,0.3004,36.8665,10.1647,529.0,4.0,3.0,0.5,0.5305,2.0,43985.0,0.275,4,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1300000.0,https://www.mubawab-media.com/ad/8/305/049F/h/villa%20m5%20sejour_81983314.avif
20,0.093,36.819,10.2358,925.0,6.0,6.0,0.5,0.517,2.0,43985.0,0.3168,4,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,1200000.0,https://www.mubawab-media.com/ad/8/305/052F/h/thumb_40667_property_xlarge_81983273.avif
1,0.3333,36.899,10.2358,180.0,4.0,3.0,0.5,0.4235,2.0,43985.0,0.3404,3,0,1,1,1,0,0,0,0,1,1,1,0,0,0,0,990000.0,https://www.mubawab-media.com/ad/8/212/587F/h/thumb_1156794_property_xlarge_80990221.avif
23,0.4138,36.819,10.2358,704.0,7.0,6.0,0.5,0.517,2.0,43985.0,0.3168,1,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,2350000.0,https://www.mubawab-media.com/ad/8/304/928F/h/maison%20gammarth%20asma_81982280.avif
16,0.1434,36.4561,10.7376,94.0,3.0,2.0,0.5,0.4454,2.0,154974.0,0.3128,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,110000.0,https://www.mubawab-media.com/ad/8/287/386F/h/thumb_1240800_property_xlarge_81794877.avif
16,0.1512,36.4561,10.7376,220.0,4.0,3.0,0.5,0.4552,2.0,154974.0,0.3124,4,0,1,1,1,1,0,0,1,1,1,1,0,0,0,0,750000.0,https://www.mubawab-media.com/ad/8/303/310F/h/28aded88-d061-42ba-9878-25473f47ccc0_81966749.avif
1,0.3333,36.819,10.2358,600.0,8.0,5.0,0.5,0.517,2.0,43985.0,0.3168,3,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,2500000.0,https://www.mubawab-media.com/ad/8/145/609F/h/thumb_1094494_property_xlarge_80304189.avif
1,0.3333,36.899,10.2358,190.0,5.0,4.0,0.5,0.4235,2.0,43985.0,0.3116,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,850000.0,https://www.mubawab-media.com/ad/7/872/801F/h/thumb_783233_property_xlarge_77848422.avif
23,0.4138,36.8769,10.3247,250.0,5.0,4.0,0.5,0.8015,2.0,2562.03,0.284,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,880000.0,https://www.mubawab-media.com/ad/8/288/951F/h/1000154867_81811348.avif
16,0.1512,36.4561,10.7376,400.0,5.0,4.0,0.5,0.4552,2.0,154974.0,0.2754,4,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,900000.0,https://www.mubawab-media.com/ad/8/109/945F/h/IMG_20210902_110913_79943751.avif
16,0.1434,36.4561,10.7376,180.0,3.0,2.0,0.5,0.4454,2.0,154974.0,0.2754,4,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,710000.0,https://www.mubawab-media.com/ad/8/295/240F/h/WhatsApp%20Image%202025-12-08%20at%2011.53.09%20%281%29_81880181.avif
16,0.0484,36.8,10.1,550.0,10.0,7.0,0.5,0.2426,2.0,110184.0,0.3136,4,0,0,1,0,1,0,0,1,1,0,1,0,0,0,0,885000.0,https://www.mubawab-media.com/ad/8/234/831F/h/WhatsApp%20Image%202025-10-14%20at%2013.10.33%20%281%29_81229636.avif
23,0.1996,36.819,10.2358,250.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,635000.0,nan
23,0.4138,36.8769,10.3247,335.0,6.0,6.0,0.5,0.8015,2.0,2562.03,0.3546,4,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1870000.0,https://www.mubawab-media.com/ad/8/231/632F/h/thumb_1181290_property_xlarge_81196810.avif
23,0.4138,36.8769,10.3247,280.0,5.0,6.0,0.5,0.8015,2.0,2562.03,0.3828,4,0,1,1,1,1,0,1,0,1,1,1,1,0,0,0,920000.0,https://www.mubawab-media.com/ad/8/298/555F/h/thumb_1272273_property_large_81918139.avif
1,0.0965,36.8665,10.1647,125.0,4.0,3.0,0.5,0.247,2.0,43985.0,0.3156,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,420000.0,https://www.mubawab-media.com/ad/8/269/425F/h/WhatsApp%20Image%202025-12-06%20at%2021.08.43%20%283%29_81602804.avif
23,0.2151,36.8094,10.1414,600.0,13.0,11.0,0.5,0.3144,2.0,2562.03,0.3152,4,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,850000.0,https://www.mubawab-media.com/ad/8/190/806F/h/WhatsApp%20Image%202025-07-30%20at%2001.55.37_80770299.avif
23,0.2151,36.8094,10.1414,220.0,10.0,8.0,0.5,0.3144,2.0,2562.03,0.3168,4,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,350000.0,https://www.mubawab-media.com/ad/8/270/687F/h/WhatsApp%20Image%202025-12-10%20at%2012.32.03_81953965.avif
23,0.062,36.8,10.1,100.0,3.0,2.0,0.5,0.1812,2.0,110184.0,0.2786,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,280000.0,https://www.mubawab-media.com/ad/8/276/204F/h/WhatsApp%20Image%202025-12-19%20at%2013.22.19%20%282%29_81906346.avif
16,0.1434,36.4561,10.7376,135.0,4.0,3.0,0.5,0.4454,2.0,154974.0,0.3172,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,1,600000.0,https://www.mubawab-media.com/ad/8/302/341F/h/IMG-20260102-WA0012%281%29_81956808.avif
1,0.3004,36.8665,10.1647,250.0,4.0,3.0,0.5,0.5305,2.0,43985.0,0.3152,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,620000.0,https://www.mubawab-media.com/ad/8/245/996F/h/thumb_1197885_property_large_81345285.avif
14,0.1047,33.3549,10.5055,130.0,5.0,3.0,0.5,0.4303,2.0,106845.0,0.3148,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,450000.0,https://www.mubawab-media.com/ad/8/155/740F/h/21dd20b3-e501-4e61-ad76-90956ae38194_80415529.avif
23,0.4138,36.8769,10.3247,280.0,5.0,4.0,0.5,0.8015,2.0,2562.03,0.2864,3,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1750000.0,https://www.mubawab-media.com/ad/8/257/662F/h/thumb_1213968_property_large_81463552.avif
16,0.1512,36.4561,10.7376,200.0,3.0,2.0,0.5,0.4552,2.0,154974.0,0.3152,4,0,0,1,0,1,0,0,0,1,1,0,0,0,0,0,320000.0,https://www.mubawab-media.com/ad/8/302/932F/h/duplex-mmenajwa-hammamet-image06_81962665.avif
16,0.1512,36.4561,10.7376,220.0,5.0,4.0,0.5,0.4552,2.0,154974.0,0.3384,4,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,1000000.0,https://www.mubawab-media.com/ad/8/260/506F/h/1258e726-0f08-4e73-83ba-1ff9fd9c0081_81494494.avif
23,0.4138,36.8769,10.3247,207.0,4.0,3.0,0.5,0.8015,2.0,2562.03,0.3132,4,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,540000.0,https://www.mubawab-media.com/ad/8/296/298F/h/e234b1e5-a9eb-4b8b-9ec9-d775005ffea2_81891918.avif
23,0.1124,36.8,10.1,140.0,11.0,8.0,0.5,0.2047,2.0,110184.0,0.2967,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,800000.0,https://www.mubawab-media.com/ad/8/267/184F/h/b230dfa5-1411-49b0-a03d-b59a6012b998_GF_81579418.avif
23,1.0,36.819,10.2358,250.0,8.0,7.0,0.5,0.517,2.0,43985.0,0.3168,4,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,3300000.0,https://www.mubawab-media.com/ad/7/781/765F/h/1_GF_56613822.avif
1,0.0965,36.8665,10.1647,138.0,5.0,3.0,0.5,0.247,2.0,43985.0,0.2738,4,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,340000.0,https://www.mubawab-media.com/ad/8/304/697F/h/IMG_0378_81979877.avif
23,0.4138,36.8769,10.3247,200.0,5.0,5.0,0.5,0.8015,2.0,2562.03,0.288,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,940000.0,https://www.mubawab-media.com/ad/8/304/609F/h/thumb_1279881_property_large_81979067.avif
23,0.1996,36.819,10.1658,166.0,4.0,3.0,0.5,0.5524,2.0,2562.03,0.3148,4,0,1,1,0,1,1,1,0,1,1,1,0,0,0,0,690000.0,https://www.mubawab-media.com/ad/8/304/069F/h/Photo1_81977077.avif
23,0.1996,36.819,10.1658,300.0,3.0,3.0,0.5,0.5524,2.0,2562.03,0.3383,4,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1100000.0,https://www.mubawab-media.com/ad/8/304/339F/h/1000027719_81976897.avif
20,0.0659,36.8,10.1,155.0,5.0,3.0,0.5,0.334,2.0,110184.0,0.3152,4,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,350000.0,https://www.mubawab-media.com/ad/8/276/588F/h/WhatsApp%20Image%202025-12-24%20at%2022.55.36%20%281%29_81678771.avif
16,0.1512,36.4561,10.7376,220.0,5.0,4.0,0.5,0.4552,2.0,154974.0,0.316,4,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,330000.0,https://www.mubawab-media.com/ad/8/275/631F/h/2_81667422.avif
16,0.1512,36.4561,10.7376,216.0,3.0,3.0,0.5,0.4552,2.0,154974.0,0.344,4,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,750000.0,https://www.mubawab-media.com/ad/8/268/575F/h/thumb_1221334_property_large_81593735.avif
16,0.1512,36.4561,10.7376,350.0,5.0,5.0,0.5,0.4552,2.0,154974.0,0.314,4,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1200000.0,https://www.mubawab-media.com/ad/8/276/544F/h/thumb_1231550_property_large_81678347.avif
