gouvernorat_enc,ville_enc,lat,lon,surface_m2,score_attractivite,market_tension,prix_region_median,text_embedding_score,nb_images,source_enc,type_transaction,has_vue_mer,has_vue_montagne,prix,image_url
1,0.1223,36.8665,10.1647,485.0,0.5,0.247,43985.0,0.2754,2,0,0,0,0,111000.0,https://www.mubawab-media.com/ad/8/280/906F/h/WhatsApp%20Image%202026-01-05%20at%2017.26.26_81730380.avif
23,0.1034,36.8,10.1,308.0,0.5,0.2194,110184.0,0.2774,1,0,0,0,0,175560.0,https://www.mubawab-media.com/ad/8/295/262F/h/boumhel%20%2820%29_81880399.avif
15,0.3197,35.7643,10.8113,1277.0,0.5,0.3655,134734.0,0.2778,1,0,0,0,0,950000.0,https://www.mubawab-media.com/ad/8/239/703F/h/gallery_81279486.avif
15,0.3197,35.7643,10.8113,1115.0,0.5,0.3655,134734.0,0.2778,1,0,0,0,0,980000.0,https://www.mubawab-media.com/ad/8/278/630F/h/gallery_81701509.avif
23,0.3826,36.77,10.23,876.0,0.5,0.2779,2562.03,0.3085,1,0,0,0,0,1400000.0,https://www.mubawab-media.com/ad/8/304/899F/h/thumb_1280156_property_large_81981761.avif
23,0.3826,36.819,10.2358,568.0,0.5,0.517,43985.0,0.3168,4,0,0,0,0,890000.0,nan
15,0.3197,35.7643,10.8113,1006.0,0.5,0.3655,134734.0,0.2706,1,0,0,0,0,800000.0,https://www.mubawab-media.com/ad/8/167/297F/h/terrain%20a%20vendre_80533065.avif
16,0.0915,36.4561,10.7376,5000.0,0.5,0.4552,154974.0,0.3132,1,0,0,0,0,6000000.0,https://www.mubawab-media.com/ad/8/302/313F/h/beaux-champs-verts-ciel-bleu-panneau-land-for-sale_1078186-5%281%29_81956421.avif
16,0.0915,36.4561,10.7376,5180.0,0.5,0.4552,154974.0,0.3113,1,0,0,0,0,3626000.0,https://www.mubawab-media.com/ad/8/255/529F/h/affiche%20terrain%201_81442190.avif
16,0.0915,36.4561,10.7376,2000.0,0.5,0.4552,154974.0,0.3192,1,0,0,0,0,5000000.0,https://www.mubawab-media.com/ad/8/302/226F/h/IMG-20251222-WA0005_81955512.avif
16,0.0915,36.4561,10.7376,660.0,0.5,0.4552,154974.0,0.3081,1,0,0,0,0,700000.0,https://www.mubawab-media.com/ad/8/300/588F/h/beaux-champs-verts-ciel-bleu-panneau-land-for-sale_1078186-5%281%29_81938495.avif
16,0.0915,36.4561,10.7376,381.0,0.5,0.4552,154974.0,0.3188,1,0,0,0,0,685000.0,https://www.mubawab-media.com/ad/8/283/178F/h/thumb_1235926_property_large_81750988.avif
16,0.0915,36.4561,10.7376,432.0,0.5,0.4552,154974.0,0.322,1,0,0,0,0,648000.0,https://www.mubawab-media.com/ad/8/264/837F/h/thumb_1219077_property_large_81550620.avif
16,0.0915,36.4561,10.7376,331.0,0.5,0.4552,154974.0,0.3176,1,0,0,0,0,570000.0,https://www.mubawab-media.com/ad/7/805/469F/h/Brown%20Simple%20Home%20For%20Sale%20Facebook%20Post_80368273.avif
23,0.3826,36.819,10.1658,120.0,0.5,0.3526,2562.03,0.2746,1,0,0,0,0,500000.0,https://www.mubawab-media.com/ad/8/301/584F/h/1000051798_81948591.avif
1,0.147,36.8665,10.1647,1000.0,0.5,0.1543,43985.0,0.277,4,0,0,0,0,160000.0,https://www.mubawab-media.com/ad/8/263/584F/h/1_81535166.avif
1,0.147,36.8665,10.1647,10400.0,0.5,0.1543,43985.0,0.3128,4,0,0,0,0,320000.0,https://www.mubawab-media.com/ad/8/263/578F/h/366851_20250912_200207_81535051.avif
16,0.0915,36.4561,10.7376,1127.0,0.5,0.4552,154974.0,0.3192,4,0,0,0,0,370000.0,https://www.mubawab-media.com/ad/8/226/859F/h/20230412_183802_81142474.avif
13,0.139,36.8,10.1,200.0,0.5,0.2875,110184.0,0.3152,4,0,0,0,0,196000.0,https://www.mubawab-media.com/ad/8/106/117F/h/1c76d4d0-bd72-4e58-bc81-8f9627247a86_79905864.avif
23,0.0721,36.8,10.1,200.0,0.5,0.151,110184.0,0.3152,4,0,0,0,0,196000.0,https://www.mubawab-media.com/ad/8/106/112F/h/1c76d4d0-bd72-4e58-bc81-8f9627247a86_79905836.avif
16,0.0915,36.4561,10.7376,698.0,0.5,0.4552,154974.0,0.288,3,0,0,0,0,975000.0,https://www.mubawab-media.com/ad/8/305/186F/h/thumb_1280553_property_xlarge_81984870.avif
17,0.1091,36.8,10.1,548.0,0.5,0.1506,110184.0,0.2782,1,0,0,0,0,493200.0,https://www.mubawab-media.com/ad/8/287/219F/h/WhatsApp%20Image%202026-01-16%20at%2011.19.18_81793342.avif
