gouvernorat_enc,ville_enc,lat,lon,surface_m2,nb_pieces,nb_chambres,score_attractivite,market_tension,cycle_marche,prix_region_median,text_embedding_score,nb_images,source_enc,type_transaction,has_piscine,has_jardin,has_vue_mer,has_garage,has_meuble,has_terrasse,has_standing,has_cuisine_equip,has_climatisation,has_cheminee,has_vue_montagne,prix,image_url
23,0.0037,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3000000.0,https://www.bnb.tn/wp-content/uploads/2026/02/IMG_8596-300x300.jpg
1,0.1891,36.8665,10.1647,120.0,4.0,4.0,0.5,0.5305,2.0,43985.0,0.3677,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1400.0,https://www.bnb.tn/wp-content/uploads/2025/09/20240407_082404-300x300.jpg
23,0.0041,36.91,10.29,120.0,4.0,4.0,0.5,0.5442,2.0,2562.03,0.393,1,1,1,0,0,0,0,0,0,0,0,0,0,0,5800.0,https://www.bnb.tn/wp-content/uploads/2026/02/1-22-300x300.jpg
23,0.0021,36.8769,10.3247,300.0,2.0,4.0,0.5,0.8015,2.0,2562.03,0.3927,1,1,1,0,0,0,0,1,1,0,0,0,0,0,2000.0,https://www.bnb.tn/wp-content/uploads/2026/02/1-7-300x300.jpeg
23,0.0041,36.91,10.29,220.0,4.0,4.0,0.5,0.5442,2.0,2562.03,0.3939,1,1,1,0,1,0,0,0,0,0,0,0,0,0,2300.0,https://www.bnb.tn/wp-content/uploads/2026/02/1-21-300x300.jpg
16,0.4154,36.819,10.2358,300.0,4.0,6.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,890000.0,https://www.bnb.tn/wp-content/uploads/2025/09/thumb_1129693_property_xlarge-300x300.jpeg
16,0.5996,36.819,10.2358,300.0,4.0,7.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,820000.0,https://www.bnb.tn/wp-content/uploads/2025/12/thumb_1221299_property_xlarge-300x300.jpeg
23,0.0021,36.8769,10.3247,300.0,4.0,4.0,0.5,0.8015,2.0,2562.03,0.3788,1,1,1,0,1,0,0,0,1,0,0,0,0,0,3800.0,https://www.bnb.tn/wp-content/uploads/2026/01/1-73-300x300.jpeg
23,0.0045,36.819,10.2358,450.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,1,1,0,0,0,0,0,0,0,0,0,0,11000.0,https://www.bnb.tn/wp-content/uploads/2026/02/1-7-300x300.jpg
23,0.2792,36.819,10.2358,250.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,1,0,1,0,1,0,0,1,0,0,350000.0,https://www.bnb.tn/wp-content/uploads/2025/04/ETAGE-300x300.jpg
16,0.5996,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,650000.0,https://www.bnb.tn/wp-content/uploads/2024/12/thumb_977403_property_xlarge-300x300.jpeg
16,0.5996,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1050000.0,https://www.bnb.tn/wp-content/uploads/2025/12/thumb_1081218_property_xlarge-300x300.jpeg
23,0.0037,36.819,10.2358,300.0,4.0,4.0,0.5,0.517,2.0,43985.0,0.3168,1,1,0,0,0,0,0,0,1,0,0,0,0,0,3000000.0,https://www.bnb.tn/wp-content/uploads/2026/02/IMG_8596-300x300.jpg
1,0.1891,36.8665,10.1647,120.0,4.0,4.0,0.5,0.5305,2.0,43985.0,0.3677,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1400.0,https://www.bnb.tn/wp-content/uploads/2025/09/20240407_082404-300x300.jpg
