id;source;type_texte;numero;date_publication;date_jort;numero_jort;ministere;domaine_juridique;risque_conformite;obligations_legales;penalites_potentielles;textes_references;titre;type_operation;contenu_resume;acteurs;mots_cles;zone_geographique;superficie_m2;superficie_texte;titre_foncier;tpd;beneficiaire;destination;prix_cession_TND;double_marche_dinars_devises;investissement_etranger;logement_social;zone_industrielle;commission_pct_min;commission_pct_max;montant_TND_min;montant_TND_max;unite_tarif;negociable;gouvernorat_stats_logements_milliers;gouvernorat_pct_parc_national;gouvernorat_augmentation_nette_2014_2024_milliers;gouvernorat_taux_croissance_10ans_pct;gouvernorat_pression_immobiliere;taux_logements_occupes_pct;taux_branchement_electricite_pct;taux_branchement_eau_pct
JORT_2026_003_D6;JORT N°3 - 8 janvier 2026;Décret présidentiel;2026-6;07-janv-26;08-janv-26;N°3 / 2026;Ministère des Domaines de l'État et des Affaires Foncières;Domaine de l'État / Foncier;ÉLEVÉ;Approbation Présidentielle ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JORT_2026_003_D7;JORT N°3 - 8 janvier 2026;Décret présidentiel;2026-7;07-janv-26;08-janv-26;N°3 / 2026;Ministère des Domaines de l'État et des Affaires Foncières;Domaine de l'État / Foncier;CRITIQUE;Approbation Présidentielle ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
JORT_2026_003_D8;JORT N°3 - 8 janvier 2026;Décret présidentiel;2026-8;07-janv-26;08-janv-26;N°3 / 2026;Ministère des Domaines de l'État et des Affaires Foncières;Domaine de l'État / Foncier;CRITIQUE;Approbation Présidentielle ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TARIF_001;tarifs_agences_tunisie.csv;Tarif / Pratique commerciale;;2025;;;Agences immobilières privées;Pratiques d'Agences Immobilières;MOYEN;Carte professionnelle ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TARIF_002;tarifs_agences_tunisie.csv;Tarif / Pratique commerciale;;2025;;;Agences immobilières privées;Pratiques d'Agences Immobilières;MOYEN;Carte professionnelle ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TARIF_003;tarifs_agences_tunisie.csv;Tarif / Pratique commerciale;;2025;;;Agences immobilières privées;Pratiques d'Agences Immobilières;ÉLEVÉ;Carte professionnelle ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TARIF_004;tarifs_agences_tunisie.csv;Tarif / Pratique commerciale;;2025;;;Agences immobilières privées;Pratiques d'Agences Immobilières;MOYEN;Carte professionnelle ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
TARIF_005;tarifs_agences_tunisie.csv;Tarif / Pratique commerciale;;2025;;;Agences immobilières privées;Investissement Étranger / Devises;ÉLEVÉ;Autorisation BCT ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
STAT_GOV_TUNIS;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Tunis;Contexte marché;Gouvernorat de Tunis : 405.0 mille logements en 2024 (9.5% du parc national). Augmentation nette 2014-2024 : +61.7 mille unités (+18.0%). Pression immobilière : FAIBLE.;INS | Observateurs marché;statistiques, logements, tunis, recensement 2024, parc logements;Tunis;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;405.0;9.5;61.7;18.0;FAIBLE;80.7;97.7;87.3
STAT_GOV_ARIANA;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Ariana;Contexte marché;Gouvernorat de Ariana : 226.4 mille logements en 2024 (5.3% du parc national). Augmentation nette 2014-2024 : +45.8 mille unités (+25.4%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, ariana, recensement 2024, parc logements;Ariana;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;226.4;5.3;45.8;25.4;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_BEN_AROUS;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Ben Arous;Contexte marché;Gouvernorat de Ben Arous : 246.4 mille logements en 2024 (5.8% du parc national). Augmentation nette 2014-2024 : +53.4 mille unités (+27.7%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, ben arous, recensement 2024, parc logements;Ben Arous;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;246.4;5.8;53.4;27.7;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_MANOUBA;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Manouba;Contexte marché;Gouvernorat de Manouba : 138.2 mille logements en 2024 (3.2% du parc national). Augmentation nette 2014-2024 : +34.9 mille unités (+33.8%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, manouba, recensement 2024, parc logements;Manouba;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;138.2;3.2;34.9;33.8;MODÉRÉE;80.7;97.7;87.3
STAT_GOV_NABEUL;Flash Logements INS - Septembre 2025 (Recensement 2024);Statistique marché – Par gouvernorat;;sept-25;;;INS – Institut National de la Statistique;Statistiques / Marché;FAIBLE;Données à titre informatif – utiles pour justification prix de marché;N/A;Recensement Général de la Population et de l'Habitat 2024 (INS);Statistiques logements 2024 – Gouvernorat de Nabeul;Contexte marché;Gouvernorat de Nabeul : 342.6 mille logements en 2024 (8.0% du parc national). Augmentation nette 2014-2024 : +85.1 mille unités (+33.0%). Pression immobilière : MODÉRÉE.;INS | Observateurs marché;statistiques, logements, nabeul, recensement 2024, parc logements;Nabeul;;;;;Marché immobilier;;;False;False;False;False;;;;;;False;342.6;8.0;85.1;33.0;MODÉRÉE;80.7;97.7;87.3
