city,osm_id,building_type,name,lat,lon,levels,material,roof_material,scraped_at
Tunis,9104809,yes,قلعة الشكلي,36.8165676,10.2171466,,,,2026-02-15T13:32:54.307928
Tunis,26292412,yes,محطة البضائع,36.8366974,10.2146421,,,,2026-02-15T13:32:54.307928
Tunis,29993446,train_station,محطة تونس,36.7952453,10.180582,,,,2026-02-15T13:32:54.307928
Tunis,34572681,hotel,,36.831215,10.1606806,,,,2026-02-15T13:32:54.307928
Tunis,48204236,yes,Noumem,36.8352066,10.150148,,,,2026-02-15T13:32:54.307928
Tunis,48416090,yes,المحطة الثانية,36.8384351,10.2152381,,,,2026-02-15T13:32:54.307928
Tunis,48416406,yes,,36.8288275,10.1568742,,,,2026-02-15T13:32:54.307928
Tunis,49691172,retail,,36.8211852,10.1756947,,,,2026-02-15T13:32:54.307928
Tunis,89811814,yes,,36.8225694,10.1892433,,,,2026-02-15T13:32:54.307928
Tunis,89811821,yes,,36.8229446,10.1901619,,,,2026-02-15T13:32:54.307928
Tunis,93263011,yes,,36.8025424,10.1933661,,,,2026-02-15T13:32:54.307928
Tunis,93263073,yes,Tgm (Aviron Tunisois/ Club Action Canoë Kayak),36.8002345,10.196211,,,,2026-02-15T13:32:54.307928
Tunis,93263138,yes,,36.8010168,10.1907123,,,,2026-02-15T13:32:54.307928
Tunis,93263377,yes,,36.7990446,10.192799,,,,2026-02-15T13:32:54.307928
Tunis,93263378,yes,Lac Mer,36.802859,10.2211551,,,,2026-02-15T13:32:54.307928
Tunis,93263390,industrial,,36.7991455,10.201447,,,,2026-02-15T13:32:54.307928
Tunis,93263508,yes,,36.8008996,10.1969317,,,,2026-02-15T13:32:54.307928
Tunis,93263596,yes,,36.8007359,10.1976754,,,,2026-02-15T13:32:54.307928
Tunis,93263721,yes,,36.7990915,10.200432,,,,2026-02-15T13:32:54.307928
Tunis,93264218,yes,,36.8010032,10.1955377,,,,2026-02-15T13:32:54.307928
Tunis,93264230,yes,,36.800537,10.1934774,,,,2026-02-15T13:32:54.307928
Tunis,93264406,yes,,36.7992492,10.1980145,,,,2026-02-15T13:32:54.307928
Tunis,93264452,yes,,36.8005266,10.193166,,,,2026-02-15T13:32:54.307928
Tunis,93264516,yes,,36.8009889,10.1964652,,,,2026-02-15T13:32:54.307928
Tunis,93264711,yes,,36.7989784,10.1985482,,,,2026-02-15T13:32:54.307928
Tunis,93264891,yes,,36.8001168,10.1990863,,,,2026-02-15T13:32:54.307928
Tunis,93264918,yes,,36.7992769,10.1924883,,,,2026-02-15T13:32:54.307928
Tunis,93265012,industrial,,36.8006509,10.1979936,,,,2026-02-15T13:32:54.307928
Tunis,93265031,yes,,36.8000114,10.1908503,,,,2026-02-15T13:32:54.307928
Tunis,93265255,yes,,36.8000796,10.1922982,,,,2026-02-15T13:32:54.307928
Tunis,93265281,yes,,36.7998876,10.1985699,,,,2026-02-15T13:32:54.307928
Tunis,93265447,yes,,36.8016384,10.1918005,,,,2026-02-15T13:32:54.307928
Tunis,93265461,yes,,36.8007105,10.1949494,,,,2026-02-15T13:32:54.307928
Tunis,93265486,train_station,تونس البحرية,36.8006687,10.1918064,,,,2026-02-15T13:32:54.307928
Tunis,94210266,apartments,,36.806336,10.1810357,3,,,2026-02-15T13:32:54.307928
Tunis,94210271,train_station,,36.8064841,10.1808219,1,,,2026-02-15T13:32:54.307928
Tunis,94346251,transportation,Terminus Tunis Marine Bus,36.8003175,10.1904113,0,,,2026-02-15T13:32:54.307928
Tunis,94346270,public,,36.8032405,10.1868814,,,,2026-02-15T13:32:54.307928
Tunis,94346303,yes,,36.7997284,10.1907344,,,,2026-02-15T13:32:54.307928
Tunis,94346379,yes,,36.8024569,10.1935324,,,,2026-02-15T13:32:54.307928
Tunis,94346610,hotel,نزل لايكو تونس,36.8075429,10.1871609,,,,2026-02-15T13:32:54.307928
Tunis,94346616,public,قصر المؤتمرات,36.8059218,10.1867723,,,,2026-02-15T13:32:54.307928
Tunis,94346620,yes,,36.8048886,10.1866224,,,,2026-02-15T13:32:54.307928
Tunis,94346632,retail,سنترال بارك,36.8018666,10.1833091,,,,2026-02-15T13:32:54.307928
Tunis,94346636,yes,,36.8052032,10.1874944,,,,2026-02-15T13:32:54.307928
Tunis,94512484,yes,,36.8147059,10.1845054,,,,2026-02-15T13:32:54.307928
Tunis,94512492,yes,,36.8150128,10.1843831,,,,2026-02-15T13:32:54.307928
Tunis,94512508,yes,,36.8150601,10.1846129,,,,2026-02-15T13:32:54.307928
Tunis,94512529,yes,,36.7871642,10.1921529,,,,2026-02-15T13:32:54.307928
Tunis,94512531,yes,عجيل,36.8177316,10.1828822,,,,2026-02-15T13:32:54.307928
Tunis,94512535,yes,,36.8269626,10.1928525,,,,2026-02-15T13:32:54.307928
Tunis,94512540,roof,,36.8354431,10.2008125,,,,2026-02-15T13:32:54.307928
Tunis,94512552,carport,,36.8152106,10.1842755,,,,2026-02-15T13:32:54.307928
Tunis,94512559,yes,,36.8390383,10.1716417,,,,2026-02-15T13:32:54.307928
Tunis,94512570,yes,,36.8154281,10.1843588,,,,2026-02-15T13:32:54.307928
Tunis,94512589,yes,,36.786752,10.1924273,,,,2026-02-15T13:32:54.307928
Tunis,94512622,yes,,36.8145997,10.1788315,,,,2026-02-15T13:32:54.307928
Tunis,94512624,yes,,36.7756585,10.2130602,,,,2026-02-15T13:32:54.307928
Tunis,94512643,yes,,36.8387988,10.1719108,,,,2026-02-15T13:32:54.307928
Tunis,94666195,yes,,36.8374,10.2156705,,,,2026-02-15T13:32:54.307928
Tunis,94666210,yes,,36.8417371,10.2157644,,,,2026-02-15T13:32:54.307928
Tunis,94666321,yes,,36.8380233,10.216471,,,,2026-02-15T13:32:54.307928
Tunis,94666322,transportation,تونيزافيا,36.8413594,10.2157151,,,,2026-02-15T13:32:54.307928
Tunis,94666336,yes,,36.8417792,10.2169911,,,,2026-02-15T13:32:54.307928
Tunis,94666383,yes,,36.8409742,10.2156488,,,,2026-02-15T13:32:54.307928
Tunis,94666546,yes,,36.8350233,10.2145804,,,,2026-02-15T13:32:54.307928
Tunis,94703207,yes,,36.8344651,10.2162111,,,,2026-02-15T13:32:54.307928
Tunis,94703249,yes,,36.8342318,10.2150726,,,,2026-02-15T13:32:54.307928
Tunis,94703321,yes,,36.8345334,10.2161378,,,,2026-02-15T13:32:54.307928
Tunis,94703353,yes,,36.8335525,10.2135157,,,,2026-02-15T13:32:54.307928
Tunis,94703404,yes,,36.8339047,10.213268,,,,2026-02-15T13:32:54.307928
Tunis,94703433,yes,,36.8345999,10.215893,,,,2026-02-15T13:32:54.307928
Tunis,94703437,yes,,36.8342067,10.2129934,,,,2026-02-15T13:32:54.307928
Tunis,95130013,yes,ضريح فرحات حشاد,36.7984856,10.1675441,,,,2026-02-15T13:32:54.307928
Tunis,95130022,yes,جامع القصبة,36.7967745,10.1675917,,,,2026-02-15T13:32:54.307928
Tunis,95130030,yes,المسرح البلدي بتونس,36.7991288,10.1808105,,,,2026-02-15T13:32:54.307928
Tunis,95130038,yes,بلماريوم,36.7988592,10.1810631,,,,2026-02-15T13:32:54.307928
Tunis,95130046,yes,Souq des Chechias,36.7977865,10.1700179,,,,2026-02-15T13:32:54.307928
Tunis,95130047,yes,جامع سيدي محرز,36.8042154,10.1684331,,,,2026-02-15T13:32:54.307928
Tunis,95130052,mosque,جامع يوسف داي,36.7970063,10.1695821,,,,2026-02-15T13:32:54.307928
Tunis,95130058,retail,السوق المركزي - Marché de Tunis,36.7974064,10.1773198,,,,2026-02-15T13:32:54.307928
Tunis,95132593,mosque,جامع صاحب الطابع,36.80763,10.1666036,,,,2026-02-15T13:32:54.307928
Tunis,95134306,commercial,Centre Commercial Lafayette,36.812394,10.1810762,,,,2026-02-15T13:32:54.307928
Tunis,95197159,yes,دار عثمان,36.7949519,10.1742771,,,,2026-02-15T13:32:54.307928
Tunis,95197160,yes,سوق الخضار,36.7930779,10.169084,,,,2026-02-15T13:32:54.307928
Tunis,95197164,mosque,مسجد حمودة باشا,36.7982441,10.1705721,,,,2026-02-15T13:32:54.307928
Tunis,95197165,yes,دار حمودة باشا,36.7986318,10.1697081,,,,2026-02-15T13:32:54.307928
Tunis,95197167,yes,وزارة الشؤون الدينية,36.7985193,10.1682919,,,,2026-02-15T13:32:54.307928
Tunis,95197168,yes,جامع الصباغين (الجامع الجديد),36.7947074,10.1737524,,,,2026-02-15T13:32:54.307928
Tunis,95197170,yes,جامع القصر,36.795159,10.1698435,,,,2026-02-15T13:32:54.307928
Tunis,95197173,yes,تربة الباي,36.7936563,10.1731158,,,,2026-02-15T13:32:54.307928
Tunis,96795478,dormitory,المبيت الجامعي بالزهور,36.7966256,10.1390858,,,,2026-02-15T13:32:54.307928
Tunis,99018914,yes,,36.8006902,10.1547758,,,,2026-02-15T13:32:54.307928
Tunis,99018923,yes,,36.8098502,10.1598908,,,,2026-02-15T13:32:54.307928
Tunis,99018931,yes,,36.8034117,10.1549964,,,,2026-02-15T13:32:54.307928
Tunis,99018932,yes,,36.8026088,10.1564395,,,,2026-02-15T13:32:54.307928
Tunis,99018940,yes,,36.8044854,10.1540475,,,,2026-02-15T13:32:54.307928
Tunis,99018949,yes,,36.8032839,10.1570771,,,,2026-02-15T13:32:54.307928
Tunis,99018950,yes,,36.8003639,10.1546607,,,,2026-02-15T13:32:54.307928
Tunis,99018958,yes,,36.8107098,10.1615212,,,,2026-02-15T13:32:54.307928
Tunis,99018959,yes,,36.8098126,10.1605356,,,,2026-02-15T13:32:54.307928
Tunis,99018964,yes,,36.8022364,10.1584636,,,,2026-02-15T13:32:54.307928
Tunis,99018965,yes,,36.8008799,10.1549091,,,,2026-02-15T13:32:54.307928
Tunis,99018970,yes,,36.8043982,10.157648,,,,2026-02-15T13:32:54.307928
Tunis,99018981,yes,,36.8035974,10.1548761,,,,2026-02-15T13:32:54.307928
Tunis,99018983,yes,,36.8045349,10.1572646,,,,2026-02-15T13:32:54.307928
Tunis,99018992,yes,,36.8045587,10.1570815,,,,2026-02-15T13:32:54.307928
Tunis,99018996,yes,,36.8100556,10.1611655,,,,2026-02-15T13:32:54.307928
Tunis,99018998,yes,,36.8038654,10.1546694,,,,2026-02-15T13:32:54.307928
Tunis,100080966,yes,الكنيسة الأرتودكسية اليونانية,36.8006732,10.1788598,,,,2026-02-15T13:32:54.307928
Tunis,100080981,yes,,36.7995004,10.1763558,,,,2026-02-15T13:32:54.307928
Tunis,100080986,yes,كاتدرائية تونس,36.8001091,10.1789146,,,,2026-02-15T13:32:54.307928
Tunis,100080996,apartments,,36.800677,10.1832737,,,,2026-02-15T13:32:54.307928
Tunis,100080999,yes,,36.7990593,10.1859986,,,,2026-02-15T13:32:54.307928
Tunis,100081000,yes,,36.7991076,10.1772084,,,,2026-02-15T13:32:54.307928
Tunis,100081003,yes,La Poste Tunisienne Direction Centrale,36.7991377,10.1880842,,,,2026-02-15T13:32:54.307928
Tunis,100081005,yes,,36.7980812,10.1771344,,,,2026-02-15T13:32:54.307928
Tunis,100081011,yes,ASB Bank,36.799359,10.1873354,,,,2026-02-15T13:32:54.307928
Tunis,100081022,yes,,36.8003546,10.1805346,,,,2026-02-15T13:32:54.307928
Tunis,100081024,yes,,36.7970064,10.1767847,,,,2026-02-15T13:32:54.307928
Tunis,100081035,yes,Tunis République,36.7994389,10.1883927,,,,2026-02-15T13:32:54.307928
Tunis,100081036,yes,,36.7997194,10.1768059,,,,2026-02-15T13:32:54.307928
Tunis,100081038,yes,طوطال,36.8013657,10.1848412,,,,2026-02-15T13:32:54.307928
Tunis,100081042,yes,,36.8003471,10.1786272,,,,2026-02-15T13:32:54.307928
Tunis,100081067,yes,,36.7976919,10.1766143,,,,2026-02-15T13:32:54.307928
Tunis,100081070,yes,LC Waikiki,36.7995439,10.1835675,,,,2026-02-15T13:32:54.307928
Tunis,100081077,yes,Ooredoo,36.799898,10.1786595,,,,2026-02-15T13:32:54.307928
Tunis,100081078,yes,Palace,36.7993552,10.1826445,,,,2026-02-15T13:32:54.307928
Tunis,100081085,yes,الاتحاد البنكي للتجارة والصناعة,36.7994752,10.1859807,,,,2026-02-15T13:32:54.307928
Tunis,100081086,apartments,الخطوط التونسية,36.8010289,10.1841259,,,,2026-02-15T13:32:54.307928
Tunis,100081091,yes,,36.7984698,10.1759249,,,,2026-02-15T13:32:54.307928
Tunis,100081095,yes,,36.798998,10.179089,,,,2026-02-15T13:32:54.307928
Tunis,100081096,yes,,36.7986973,10.176189,,,,2026-02-15T13:32:54.307928
Tunis,100081097,yes,,36.7993691,10.182926,,,,2026-02-15T13:32:54.307928
Tunis,100081099,apartments,,36.8007246,10.1848067,,,,2026-02-15T13:32:54.307928
Tunis,100081102,yes,,36.8003406,10.1793121,,,,2026-02-15T13:32:54.307928
Tunis,100081103,yes,,36.8006933,10.1794822,,,,2026-02-15T13:32:54.307928
Tunis,100081109,yes,,36.7996301,10.1879166,,,,2026-02-15T13:32:54.307928
Tunis,100081111,yes,إتش إس بي سي,36.7997296,10.1870793,,,,2026-02-15T13:32:54.307928
Tunis,100081120,yes,,36.8005069,10.1789133,,,,2026-02-15T13:32:54.307928
Tunis,100081122,apartments,,36.7995051,10.1842312,,,,2026-02-15T13:32:54.307928
Tunis,100081133,apartments,,36.8007904,10.1853701,,,,2026-02-15T13:32:54.307928
Tunis,100081134,yes,,36.7986681,10.1794664,,,,2026-02-15T13:32:54.307928
Tunis,100081138,yes,,36.798389,10.1794261,,,,2026-02-15T13:32:54.307928
Tunis,100081139,yes,,36.7991642,10.1867912,,,,2026-02-15T13:32:54.307928
Tunis,100081141,apartments,فندق أفريقا زوالي,36.7993942,10.1831834,,,,2026-02-15T13:32:54.307928
Tunis,100081155,apartments,Traveltodo Agence Av. HB Tunis centre ville,36.8004903,10.1853321,,,,2026-02-15T13:32:54.307928
Tunis,100081162,yes,,36.7988166,10.1830459,,,,2026-02-15T13:32:54.307928
Tunis,100081170,apartments,,36.8003797,10.1834719,,,,2026-02-15T13:32:54.307928
Tunis,100081177,apartments,,36.8004601,10.1842081,,,,2026-02-15T13:32:54.307928
Tunis,100081184,yes,,36.7980747,10.1761193,,,,2026-02-15T13:32:54.307928
Tunis,100202809,yes,,36.8017212,10.1823112,,,,2026-02-15T13:32:54.307928
Tunis,100202818,yes,,36.8014248,10.1807524,,,,2026-02-15T13:32:54.307928
Tunis,100202822,yes,,36.8014128,10.1846758,,,,2026-02-15T13:32:54.307928
Tunis,100202834,yes,,36.8032436,10.1805431,,,,2026-02-15T13:32:54.307928
Tunis,100202836,yes,,36.8016967,10.1841645,,,,2026-02-15T13:32:54.307928
Tunis,100202838,yes,,36.8016151,10.1796767,,,,2026-02-15T13:32:54.307928
Tunis,100202841,yes,,36.8029625,10.1836615,,,,2026-02-15T13:32:54.307928
Tunis,100202873,yes,,36.8027511,10.1799175,,,,2026-02-15T13:32:54.307928
Tunis,100202876,yes,,36.8019372,10.1868312,,,,2026-02-15T13:32:54.307928
Tunis,100202888,yes,,36.8016674,10.1800041,,,,2026-02-15T13:32:54.307928
Tunis,100202890,yes,المعهد الفرنسي للتعاون,36.802276,10.1806335,,,,2026-02-15T13:32:54.307928
Tunis,100202909,yes,,36.802846,10.1804067,,,,2026-02-15T13:32:54.307928
Tunis,100202921,yes,,36.8020688,10.1835131,,,,2026-02-15T13:32:54.307928
Tunis,100202929,apartments,,36.8014107,10.1819579,,,,2026-02-15T13:32:54.307928
Tunis,100202933,yes,,36.8034954,10.1845463,,,,2026-02-15T13:32:54.307928
Tunis,100202957,yes,,36.8019975,10.1841096,,,,2026-02-15T13:32:54.307928
Tunis,100202973,yes,BTK Agence Centrale,36.801865,10.1854641,,,,2026-02-15T13:32:54.307928
Tunis,100202979,yes,,36.8026957,10.1828554,,,,2026-02-15T13:32:54.307928
Tunis,100202995,yes,,36.8028025,10.1838836,,,,2026-02-15T13:32:54.307928
Tunis,100203032,yes,,36.8029962,10.1794583,,,,2026-02-15T13:32:54.307928
Tunis,100203040,yes,,36.8016582,10.1819169,,,,2026-02-15T13:32:54.307928
Tunis,100203052,yes,,36.8021213,10.1837895,,,,2026-02-15T13:32:54.307928
Tunis,100203057,yes,,36.8040407,10.1843473,,,,2026-02-15T13:32:54.307928
Tunis,100203063,yes,,36.8015588,10.1794173,,,,2026-02-15T13:32:54.307928
Tunis,100203068,yes,,36.8037644,10.1841722,,,,2026-02-15T13:32:54.307928
Tunis,100203072,yes,,36.8027457,10.1832249,,,,2026-02-15T13:32:54.307928
Tunis,100203075,yes,,36.802078,10.1822514,,,,2026-02-15T13:32:54.307928
Tunis,100203098,yes,,36.8029858,10.1802119,,,,2026-02-15T13:32:54.307928
Tunis,100203102,yes,,36.8032401,10.1842599,,,,2026-02-15T13:32:54.307928
Tunis,100218813,yes,,36.8121473,10.1838766,,,,2026-02-15T13:32:54.307928
Tunis,100218815,yes,,36.8088808,10.1834112,,,,2026-02-15T13:32:54.307928
Tunis,100218816,yes,,36.8069506,10.1846322,,,,2026-02-15T13:32:54.307928
Tunis,100218819,yes,,36.8083836,10.1845105,,,,2026-02-15T13:32:54.307928
Tunis,100218823,yes,Azur Rent a Car,36.8087058,10.1837229,,,,2026-02-15T13:32:54.307928
Tunis,100218824,yes,Pôle Judiciaire Financier,36.810265,10.1843387,,,,2026-02-15T13:32:54.307928
Tunis,100218831,yes,chez hbib khanchouch,36.8103445,10.1841152,,,,2026-02-15T13:32:54.307928
Tunis,100218832,yes,,36.8078582,10.1845697,,,,2026-02-15T13:32:54.307928
Tunis,100218837,bank,,36.8093991,10.1843344,,,,2026-02-15T13:32:54.307928
Tunis,100219304,apartments,,36.810426,10.1833704,,,,2026-02-15T13:32:54.307928
Tunis,100421090,public,,36.7996984,10.1645779,,,,2026-02-15T13:32:54.307928
Tunis,100788079,yes,مرسيدس-بنز,36.8302512,10.207902,,,,2026-02-15T13:32:54.307928
Tunis,100788087,yes,سيتروان,36.8378555,10.2040117,,,,2026-02-15T13:32:54.307928
Tunis,100788092,yes,مرسيدس-بنز,36.8307085,10.2064344,,,,2026-02-15T13:32:54.307928
