city,osm_id,landuse_type,name,lat,lon,scraped_at
Tunis,26232233,industrial,,36.7850857,10.2719361,2026-02-15T13:37:13.686640
Tunis,26232654,residential,,36.793356,10.2756465,2026-02-15T13:37:13.686640
Tunis,26232751,industrial,,36.8015217,10.2719736,2026-02-15T13:37:13.686640
Tunis,26235869,industrial,,36.7298196,10.2207588,2026-02-15T13:37:13.686640
Tunis,26235900,industrial,منطقة صناعية بئر القصعة,36.7363756,10.225564,2026-02-15T13:37:13.686640
Tunis,26278247,cemetery,مقبرة الجلاز,36.7849032,10.1855257,2026-02-15T13:37:13.686640
Tunis,26300593,village_green,,36.8379085,10.2467286,2026-02-15T13:37:13.686640
Tunis,32900382,cemetery,مقبرة سيدي عسيلة,36.8157382,10.1424951,2026-02-15T13:37:13.686640
Tunis,34613562,forest,,36.8318442,10.1423294,2026-02-15T13:37:13.686640
Tunis,43323042,cemetery,Sidi jbeli,36.8605269,10.1849903,2026-02-15T13:37:13.686640
Tunis,48058579,village_green,,36.8299941,10.1576135,2026-02-15T13:37:13.686640
Tunis,48058580,grass,,36.8294721,10.1564796,2026-02-15T13:37:13.686640
Tunis,48253660,brownfield,,36.8680236,10.181551,2026-02-15T13:37:13.686640
Tunis,48416786,commercial,مؤسسة الإذاعة والتلفزة التونسية,36.8284757,10.1582923,2026-02-15T13:37:13.686640
Tunis,48720348,industrial,قطب الغزالة لتكنولوجيات الإتصال,36.8934747,10.1908901,2026-02-15T13:37:13.686640
Tunis,83717095,village_green,المسلك الصحي,36.8488972,10.1617924,2026-02-15T13:37:13.686640
Tunis,89811817,cemetery,المقبرة اليهودية,36.8235664,10.1895658,2026-02-15T13:37:13.686640
Tunis,93164229,residential,,36.7912948,10.2733262,2026-02-15T13:37:13.686640
Tunis,93164375,greenfield,المنطقة الصناعية في حلق الوادي,36.8151943,10.2842125,2026-02-15T13:37:13.686640
Tunis,93164381,construction,,36.8130493,10.2897602,2026-02-15T13:37:13.686640
Tunis,93164434,construction,المدينة الرياضية بتونس,36.8358833,10.295784,2026-02-15T13:37:13.686640
Tunis,93164455,industrial,محطة كهرباء حلق الوادي,36.8156514,10.2885711,2026-02-15T13:37:13.686640
Tunis,93164492,greenfield,,36.8151606,10.2915842,2026-02-15T13:37:13.687632
Tunis,93164500,residential,حلق الوادي,36.816131,10.2965198,2026-02-15T13:37:13.687632
Tunis,93164521,industrial,,36.7904046,10.2747022,2026-02-15T13:37:13.687632
Tunis,93164715,railway,,36.7999772,10.19862,2026-02-15T13:37:13.687632
Tunis,93164878,greenfield,,36.8222788,10.2982058,2026-02-15T13:37:13.687632
Tunis,93164934,industrial,,36.7922253,10.2748299,2026-02-15T13:37:13.687632
Tunis,93164977,industrial,المنطقة الصناعية في حلق الوادي,36.8173533,10.2919097,2026-02-15T13:37:13.687632
Tunis,93263158,grass,,36.8009946,10.1926985,2026-02-15T13:37:13.687632
Tunis,93263389,industrial,,36.8001319,10.2824996,2026-02-15T13:37:13.687632
Tunis,93263540,industrial,,36.8017028,10.1897317,2026-02-15T13:37:13.687632
Tunis,93264258,railway,تونس حلق الوادي المرسى,36.8017021,10.1912908,2026-02-15T13:37:13.687632
Tunis,93264275,industrial,,36.799662,10.1919456,2026-02-15T13:37:13.687632
Tunis,93264466,industrial,,36.8025264,10.2925986,2026-02-15T13:37:13.687632
Tunis,93352256,village_green,,36.845917,10.2759156,2026-02-15T13:37:13.687632
Tunis,93352327,village_green,,36.8451534,10.2794645,2026-02-15T13:37:13.687632
Tunis,93697988,brownfield,,36.8405119,10.2581511,2026-02-15T13:37:13.687632
Tunis,93721705,brownfield,,36.8571268,10.2733311,2026-02-15T13:37:13.687632
Tunis,93721713,residential,,36.8471092,10.2573222,2026-02-15T13:37:13.687632
Tunis,94280042,residential,المروج 2,36.7419263,10.1978772,2026-02-15T13:37:13.687632
Tunis,94346248,brownfield,,36.8023277,10.200539,2026-02-15T13:37:13.687632
Tunis,94346305,brownfield,,36.8087314,10.194833,2026-02-15T13:37:13.687632
Tunis,94346660,brownfield,,36.8255447,10.2035049,2026-02-15T13:37:13.687632
Tunis,94346674,commercial,عمارة الوطن,36.80317,10.1872231,2026-02-15T13:37:13.687632
Tunis,94512478,industrial,,36.8345318,10.2220702,2026-02-15T13:37:13.687632
Tunis,94512510,industrial,,36.8664117,10.1983803,2026-02-15T13:37:13.687632
Tunis,94512623,industrial,,36.8864587,10.1686589,2026-02-15T13:37:13.687632
Tunis,94666242,industrial,,36.8587176,10.2204925,2026-02-15T13:37:13.687632
Tunis,94703229,grass,,36.8396579,10.2367703,2026-02-15T13:37:13.687632
Tunis,94703266,residential,,36.8389822,10.2333976,2026-02-15T13:37:13.687632
Tunis,94703281,grass,,36.8412227,10.237411,2026-02-15T13:37:13.687632
Tunis,94703315,grass,,36.8407168,10.2320053,2026-02-15T13:37:13.687632
Tunis,94703337,grass,,36.8397528,10.2372778,2026-02-15T13:37:13.687632
Tunis,94703338,village_green,,36.8429383,10.2342338,2026-02-15T13:37:13.687632
Tunis,94703394,construction,,36.8416451,10.2351184,2026-02-15T13:37:13.687632
Tunis,94703403,grass,الحرس الوطني,36.8411102,10.2361104,2026-02-15T13:37:13.687632
Tunis,94703405,grass,,36.8382889,10.2282309,2026-02-15T13:37:13.687632
Tunis,94703429,grass,,36.8427522,10.23519,2026-02-15T13:37:13.687632
Tunis,94703435,grass,,36.8406093,10.2344545,2026-02-15T13:37:13.687632
Tunis,94727988,construction,المدينة الرياضية بتونس,36.8474936,10.2899847,2026-02-15T13:37:13.687632
Tunis,95130045,commercial,الأرشيف الوطني التونسي,36.7997795,10.1645253,2026-02-15T13:37:13.687632
