city,population,lat,lon,density_category,scraped_at
Tunis,693210,36.8065,10.1815,high,2026-02-15T13:39:16.576372
Sfax,272801,34.7406,10.7603,high,2026-02-15T13:39:16.576372
Sousse,221530,35.8256,10.6369,high,2026-02-15T13:39:16.576372
Kairouan,186653,35.6781,10.0963,medium,2026-02-15T13:39:16.576372
Bizerte,142966,37.2746,9.8739,medium,2026-02-15T13:39:16.576372
Gabès,130984,33.8815,10.0982,medium,2026-02-15T13:39:16.576372
Ariana,114486,36.8625,10.1956,medium,2026-02-15T13:39:16.576372
Gafsa,95242,34.425,8.7842,medium,2026-02-15T13:39:16.576372
Monastir,93306,35.7772,10.8261,medium,2026-02-15T13:39:16.576372
Ben Arous,88322,36.7472,10.2186,medium,2026-02-15T13:39:16.576372
Kasserine,81987,35.1676,8.8363,medium,2026-02-15T13:39:16.576372
Médenine,61705,33.3548,10.5055,medium,2026-02-15T13:39:16.576372
Nabeul,56387,36.4561,10.7353,medium,2026-02-15T13:39:16.576372
Tataouine,59346,32.9293,10.4517,medium,2026-02-15T13:39:16.576372
Béja,57440,36.7256,9.1817,medium,2026-02-15T13:39:16.576372
Jendouba,51408,36.5011,8.7803,medium,2026-02-15T13:39:16.576372
Mahdia,76513,35.5047,11.0622,medium,2026-02-15T13:39:16.576372
Sidi Bouzid,42098,35.0381,9.4858,low,2026-02-15T13:39:16.576372
Zaghouan,20837,36.4028,10.1425,low,2026-02-15T13:39:16.576372
Siliana,26960,36.0847,9.3708,low,2026-02-15T13:39:16.576372
Kef,45191,36.1743,8.7049,low,2026-02-15T13:39:16.576372
Tozeur,38889,33.9197,8.1339,low,2026-02-15T13:39:16.576372
Kebili,19875,33.7059,8.9694,low,2026-02-15T13:39:16.576372
Manouba,51621,36.8081,10.0969,medium,2026-02-15T13:39:16.576372
