city,osm_id,highway_type,name,surface,lanes,maxspeed,lit,oneway,scraped_at
Tunis,10641392,primary,شارع الحبيب بورقيبة,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,10641416,primary,شارع الحبيب بورقيبة,asphalt,2,,,yes,2026-02-15T13:34:58.022478
Tunis,10641456,primary,ساحة 14 جانفي 2011,asphalt,3,,,yes,2026-02-15T13:34:58.022478
Tunis,10641477,primary,شارع الحبيب بورقيبة,asphalt,2,,,yes,2026-02-15T13:34:58.022478
Tunis,11625417,tertiary,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,19744221,motorway,الطريق الوطنية تونس - بنزرت,,,,,yes,2026-02-15T13:34:58.022478
Tunis,19744300,trunk,الطريق الوطنية تونس - المرسى,,2,,,yes,2026-02-15T13:34:58.022478
Tunis,19744314,motorway_link,الطريق الوطنية تونس - المرسى,asphalt,1,,,yes,2026-02-15T13:34:58.022478
Tunis,19744488,motorway_link,الطريق الوطنية تونس - المرسى,paved,4,40,,yes,2026-02-15T13:34:58.022478
Tunis,19744536,motorway_link,الطريق الوطنية تونس - المرسى,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,19744605,motorway_link,الطريق الوطنية تونس - المرسى,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,19744658,motorway_link,الطريق الوطنية تونس - المرسى,,,,,yes,2026-02-15T13:34:58.022478
Tunis,19744695,motorway_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,19744822,motorway_link,,asphalt,1,40,,yes,2026-02-15T13:34:58.022478
Tunis,19800017,primary,شارع خير الدين باشا,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,21759526,tertiary,نهج المعادن,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,21759625,residential,نهج الطاقة الذرية,asphalt,,,yes,yes,2026-02-15T13:34:58.022478
Tunis,21759746,motorway_link,,paved,,50,,yes,2026-02-15T13:34:58.022478
Tunis,21760078,tertiary,,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,21760174,motorway_link,,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,21760552,motorway_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,21760617,tertiary,,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,21760706,motorway_link,,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,21760787,tertiary,شارع محمد علي عقيد,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,21760854,motorway_link,,asphalt,,40,,yes,2026-02-15T13:34:58.022478
Tunis,22650038,trunk_link,شارع الشيخ زايد,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22650088,secondary,نهج حسيب بن عمار,asphalt,,50,,yes,2026-02-15T13:34:58.022478
Tunis,22650090,secondary,نهج حسيب بن عمار,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,22650103,secondary,شارع الحبيب عاشور,,3,,,yes,2026-02-15T13:34:58.022478
Tunis,22650117,trunk_link,نهج حسيب بن عمار,,1,,,yes,2026-02-15T13:34:58.022478
Tunis,22650124,residential,نهج بحيرة توركانا,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,22650144,residential,نهج بحيرة نيوشاتل,asphalt,,,yes,,2026-02-15T13:34:58.022478
Tunis,22650152,residential,نهج بحيرة ملاران,,,,,,2026-02-15T13:34:58.022478
Tunis,22650154,residential,نهج بحيرة أبيرة,asphalt,,,yes,,2026-02-15T13:34:58.022478
Tunis,22675190,trunk,شارع الزعيم ياسر عرفات,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22675248,service,,,,,,,2026-02-15T13:34:58.022478
Tunis,22675293,tertiary,,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,22675315,tertiary,,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,22675338,service,,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,22675342,service,,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,22675354,tertiary,,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,22741993,secondary,شارع الملك عبد العزيز آل سعود,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22742008,trunk_link,,,2,70,,yes,2026-02-15T13:34:58.022478
Tunis,22742210,tertiary,شارع إفريقيا,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,22742215,residential,نهج رابعة العدوية,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,22742221,residential,نهج عقبة ابن نافع,asphalt,,,yes,,2026-02-15T13:34:58.022478
Tunis,22742260,tertiary,شارع سليمان بن سليمان,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22742294,trunk_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22742304,trunk_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22742449,residential,شارع بلال,asphalt,,,yes,,2026-02-15T13:34:58.022478
Tunis,22742452,unclassified,نهج علي ابن ابي طالب,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,22742457,residential,نهج المتنبي,,,,,,2026-02-15T13:34:58.022478
Tunis,22742460,residential,نهج الطاهر ممي,asphalt,,,yes,,2026-02-15T13:34:58.022478
Tunis,22742464,residential,نهج الحكام,asphalt,,,yes,yes,2026-02-15T13:34:58.022478
Tunis,22742468,residential,نهج الشيخ زغواني,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,22742469,residential,نهج ابن الهيثم,,,,,,2026-02-15T13:34:58.022478
Tunis,22742471,residential,نهج أبو زمعة البلوي,,,,,,2026-02-15T13:34:58.022478
Tunis,22742472,residential,نهج حليمة السعدية,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,22742474,residential,نهج أبو بكر الصديق,,,,,,2026-02-15T13:34:58.022478
Tunis,22742477,residential,نهج صفية بنت عبد المطلب,,,,,,2026-02-15T13:34:58.022478
Tunis,22742479,residential,نهج امنة ابنة وهب,,,,,,2026-02-15T13:34:58.022478
Tunis,22742480,residential,نهج عبيد الله المهدي,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,22742481,residential,,,,,,,2026-02-15T13:34:58.022478
Tunis,22742482,residential,نهج عزيزة عثمانة,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,22742489,residential,نهج الإمام ابو حنيفة,,,,,,2026-02-15T13:34:58.022478
Tunis,22742491,residential,نهج محمد الهادي العامري,,,,,,2026-02-15T13:34:58.022478
Tunis,22742494,residential,نهج الدكتور محمد عمار,,,,,,2026-02-15T13:34:58.022478
Tunis,22742496,residential,نهج ابن سينا,asphalt,,,yes,,2026-02-15T13:34:58.022478
Tunis,22742504,residential,,,,,,,2026-02-15T13:34:58.022478
Tunis,22774912,residential,شارع المنجي سليم,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,22774920,residential,نهج صفاقس,,,,,,2026-02-15T13:34:58.022478
Tunis,22774933,residential,نهج ابن زيدون,,,,,,2026-02-15T13:34:58.022478
Tunis,22774952,residential,نهج العباسيين,,,,,,2026-02-15T13:34:58.022478
Tunis,22774971,residential,,,,,,,2026-02-15T13:34:58.022478
Tunis,22774980,residential,,,,,,,2026-02-15T13:34:58.022478
Tunis,22774981,tertiary,نهج قرقنة,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,22774984,residential,نهج علي بن بلقاسم,,,,,,2026-02-15T13:34:58.022478
Tunis,22774985,residential,,,,,,,2026-02-15T13:34:58.022478
Tunis,22820911,unclassified,نهج الطاقة الشمسية,asphalt,,,,,2026-02-15T13:34:58.022478
Tunis,22874165,primary,شارع الطيب المهيري,asphalt,,,,no,2026-02-15T13:34:58.022478
Tunis,22874175,motorway_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22874177,tertiary,شارع إفريقيا,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22874198,motorway_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22874202,motorway_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22874206,motorway_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22874221,motorway_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22874223,motorway_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22874226,primary_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22874235,secondary,شارع عبد الرحمان الخبثاني,,,,,no,2026-02-15T13:34:58.022478
Tunis,22874241,motorway_link,,,,,,yes,2026-02-15T13:34:58.022478
Tunis,22875461,secondary,شارع معاوية إبن أبي سفيان,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,22875464,primary,شارع 10 ديسمبر 1948,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,22875466,primary,شارع علي البلهوان,asphalt,,,,yes,2026-02-15T13:34:58.022478
Tunis,22875468,primary,شارع محمد صالح بلحاج,,,50,,yes,2026-02-15T13:34:58.022478
Tunis,22875539,residential,Rue de la Vénération,,,,,yes,2026-02-15T13:34:58.022478
Tunis,23027515,motorway,الطريق السريعة تونس - سوسة - صفاقس,,2,,,yes,2026-02-15T13:34:58.022478
Tunis,23766581,residential,شارع الأهرام,,,,,,2026-02-15T13:34:58.022478
Tunis,24055318,residential,شارع كينيدي,,,,,,2026-02-15T13:34:58.022478
Tunis,24055319,residential,,,,,,,2026-02-15T13:34:58.022478
Tunis,24055320,residential,نهج كينيدي,,,,,,2026-02-15T13:34:58.022478
Tunis,24055322,residential,نهج محمد العريبي,,,,,,2026-02-15T13:34:58.022478
