id_annonce,url,titre,prix,prix_tnd,ville,quartier,gouvernorat,surface_m2,nb_pieces,nb_chambres,nb_sdb,capacite,nuits_min,equipements,image_url,categorie,type_bien,source,titre_detail,agence,agence_url,images,nb_images,telephones
8208658,https://www.mubawab.tn/fr/a/8208658/a-vendre-s2-ths-%C3%A0-chotrana-1,A Vendre S2 THS à Chotrana 1,475 000 TND,475000,La Soukra,Chotrana 1,Ariana,125,3,2,,,,Terrasse | Garage | Ascenseur | Concierge | 11,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif,vente,Appartement,Mubawab.tn,A Vendre S2 THS à Chotrana 1,,https://www.mubawab.tn/fr/b/8008/darcom-tunisia,https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153501_property_xlarge_80949736.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153490_property_xlarge_80949737.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153498_property_xlarge_80949738.avif | https://www.mubawab-media.com/ad/8/208/658F/h/thumb_1153496_property_xlarge_80949739.avif,4.0,
7996323,https://www.mubawab.tn/fr/a/7996323/a-vendre-s3-superficie-214-m%C2%B2-%C3%A0-chotrana-1,A vendre s3 superficie 214 m² à chotrana 1,635 000 TND,635000,La Soukra,Chotrana 1,Ariana,214,4,3,,,,Terrasse | Garage | Ascenseur | Piscine | Concierge | 11,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif,vente,Appartement,Mubawab.tn,A vendre s3 superficie 214 m² à chotrana 1,,https://www.mubawab.tn/fr/b/8008/darcom-tunisia,https://www.mubawab-media.com/ad/7/996/323F/h/thumb_238943_property_xlarge_78821643.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901244_property_xlarge_78820312.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901236_property_xlarge_78820313.avif | https://www.mubawab-media.com/ad/7/996/323F/h/thumb_901228_property_xlarge_78820317.avif,4.0,
8093751,https://www.mubawab.tn/fr/a/8093751/r%C3%A9sidence-%C3%A0-chotrana-soukra,Résidence à chotrana soukra,530 000 TND,530000,La Soukra,Chotrana 1,Ariana,104,3,2,1,,,Jardin | Garage | Ascenseur | Piscine | Concierge | 10,https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015631_property_xlarge_79786133.avif,vente,Appartement,Mubawab.tn,Résidence à chotrana soukra,,https://www.mubawab.tn/fr/b/8008/darcom-tunisia,https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015631_property_xlarge_79786133.avif | https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015630_property_xlarge_79786134.avif | https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015637_property_xlarge_79786135.avif | https://www.mubawab-media.com/ad/8/093/751F/h/thumb_1015632_property_xlarge_79786136.avif,4.0,
7928114,https://www.mubawab.tn/fr/pa/7928114/s2-%C3%A0-vendre-avec-une-place-de-parking-%C3%A0-ezzahra,S2 à vendre avec une place de parking à Ezzahra,287 000 TND,287000,Ezzahra,Ezzahra,,116,3,2,1,,,Garage | Ascenseur | Climatisation | Chauffage central | Sécurité | 2,https://www.mubawab-media.com/ad/7/928/114F/h/DSC_6827-HDR_21207779_76256906.avif,vente,Appartement,Mubawab.tn,S2 à vendre avec une place de parking à Ezzahra,,https://www.mubawab.tn/fr/b/6582/l-immobili%C3%A8re-l-avenue,https://www.mubawab-media.com/ad/7/928/114F/h/DSC_6827-HDR_21207779_76256906.avif | https://www.mubawab-media.com/ad/7/928/114F/h/WhatsApp%20Image%202024-06-03%20at%2012.06.29%20%282%29_76256780_76256892.avif | https://www.mubawab-media.com/ad/7/928/114F/h/WhatsApp%20Image%202024-06-03%20at%2012.06.29_76256782_76256894.avif | https://www.mubawab-media.com/ad/7/928/114F/h/WhatsApp%20Image%202024-06-03%20at%2012.06.29%20%281%29_76256783_76256895.avif,4.0,
8112479,https://www.mubawab.tn/fr/pa/8112479/appartement-t%C3%A9moin-les-jardins-de-monastir,Appartement Témoin Les Jardins de Monastir,Prix à consulter,,Monastir Ville,Cité El Agba,,,2,,,,,Jardin | Terrasse | Garage | Ascenseur | Vue sur mer | 11,https://www.mubawab-media.com/ad/8/112/479F/h/01_79969048.avif,vente,Appartement,Mubawab.tn,Appartement Témoin Les Jardins de Monastir,,https://www.mubawab.tn/fr/b/6738/r%C3%A9sidence-les-jardins-de-monastir,https://www.mubawab-media.com/ad/8/112/479F/h/01_79969048.avif | https://www.mubawab-media.com/ad/8/112/479F/h/02_79969049.avif | https://www.mubawab-media.com/ad/8/112/479F/h/03_79969050.avif | https://www.mubawab-media.com/ad/8/112/479F/h/04_79969051.avif,4.0,
8111784,https://www.mubawab.tn/fr/pa/8111784/appartement-%C3%A0-l-achat-%C3%A0-bou-mhel-3-belles-chambres,Appartement à l'achat à Bou Mhel. 3 belles chambres,407 000 TND,407000,Boumhel Bassatine,Bou Mhel,,129,4,3,1,,,Jardin | Garage | Concierge | Chambre rangement | 8,https://www.mubawab-media.com/ad/8/111/784F/h/02%20%281%29_79962345_79962352.avif,vente,Appartement,Mubawab.tn,Appartement à l'achat à Bou Mhel. 3 belles chambres,,https://www.mubawab.tn/fr/b/11875/priba-hedi-3,https://www.mubawab-media.com/ad/8/111/784F/h/02%20%281%29_79962345_79962352.avif | https://www.mubawab-media.com/ad/8/111/784F/h/A.0.2_81439314.avif | https://www.mubawab-media.com/ad/8/111/784F/h/01%20%281%29_79962344_79962351.avif | https://www.mubawab-media.com/ad/8/111/784F/h/03%20%281%29_79962346_79962353.avif,4.0,
8293596,https://www.mubawab.tn/fr/a/8293596/apt-centre-ville-tunis,APT Centre Ville Tunis,160 000 TND,160000,Tunis,Montfleury,Tunis,70,2,2,1,,,Terrasse | Ascenseur | Concierge | Chambre rangement | Façade extérieure,https://www.mubawab-media.com/ad/8/293/596F/h/Salon_81859863.avif,vente,Appartement,Mubawab.tn,APT Centre Ville Tunis,,,https://www.mubawab-media.com/ad/8/293/596F/h/Salon_81859863.avif | https://www.mubawab-media.com/ad/8/293/596F/h/Chambre1_81859864.avif | https://www.mubawab-media.com/ad/8/293/596F/h/Salon1_81859865.avif | https://www.mubawab-media.com/ad/8/293/596F/h/20250928_100257_81859866.avif,4.0,
,https://www.mubawab.tn/fr/p/4547/r%C3%A9sidence-marbella-%E2%80%93-aouina-ain-zaghouan,RÉSIDENCE MARBELLA – Aouina / Ain Zaghouan,À partir de 240 000 TND,240000,La Marsa,Ain Zaghouan,Tunis,,,,,,,,,vente,Appartement,Mubawab.tn,RÉSIDENCE MARBELLA – Aouina / Ain Zaghouan,À partir de 240 000 TND,,https://www.mubawab-media.com/promotion/4/547F/pictures/h/MARBELLA_81612983.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/1010_81618564.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/Rendu%20Marbella_Hall%20d%27accueil_05_81612984.avif | https://www.mubawab-media.com/promotion/4/547F/pictures/h/Rendu%20Marbella_Hall%20d%27accueil_02%20_81612985.avif,4.0,
8230106,https://www.mubawab.tn/fr/a/8230106/grand-s3-haut-standing-sahloul-4,Grand S3 haut standing Sahloul 4,447 000 TND,447000,Sahloul,Sahloul,,167,4,3,,,,Terrasse | Garage | Ascenseur | Concierge | Chambre rangement | Façade extérieure | Antenne parabolique | Climatisation | Chauffage central | Sécurité | Double vitrage | Cuisine équipée | Four,https://www.mubawab-media.com/ad/8/230/106F/h/photo_01_81181225.avif,vente,Appartement,Mubawab.tn,Grand S3 haut standing Sahloul 4,,,https://www.mubawab-media.com/ad/8/230/106F/h/photo_01_81181225.avif | https://www.mubawab-media.com/ad/8/230/106F/h/photo_00_81181224.avif | https://www.mubawab-media.com/ad/8/230/106F/h/photo_02_81181226.avif | https://www.mubawab-media.com/ad/8/230/106F/h/photo_03_81181227.avif,4.0,
8295686,https://www.mubawab.tn/fr/a/8295686/s2-en-vente,S2 en vente,420 000 TND,420000,Le Kram,Les Jardins de Carthage,Tunis,120,,,,,,Garage | Ascenseur | Climatisation | Chauffage central | Cuisine équipée,https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885559.avif,vente,Appartement,Mubawab.tn,S2 en vente,,https://www.mubawab.tn/fr/b/14640/tecnocsa-les-jardins-de-carthage-2,https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885559.avif | https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885560.avif | https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885561.avif | https://www.mubawab-media.com/ad/8/295/686F/h/gallery_81885562.avif,4.0,
8294488,https://www.mubawab.tn/fr/a/8294488/s3-en-vente,S3 en vente,940 000 TND,940000,Le Kram,Les Jardins de Carthage,Tunis,175,,,,,,Terrasse | Garage | Climatisation | Chauffage central | Cuisine équipée | Four | Machine à laver,https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869506.avif,vente,Appartement,Mubawab.tn,S3 en vente,,https://www.mubawab.tn/fr/b/14640/tecnocsa-les-jardins-de-carthage-2,https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869506.avif | https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869507.avif | https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869508.avif | https://www.mubawab-media.com/ad/8/294/488F/h/gallery_81869509.avif,4.0,
8294540,https://www.mubawab.tn/fr/a/8294540/s2-en-vente,S2 en vente,675 000 TND,675000,Le Kram,Les Jardins de Carthage,Tunis,158,,,,,,Jardin | Garage | Four,https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869974.avif,vente,Appartement,Mubawab.tn,S2 en vente,,https://www.mubawab.tn/fr/b/14640/tecnocsa-les-jardins-de-carthage-2,https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869974.avif | https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869976.avif | https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869977.avif | https://www.mubawab-media.com/ad/8/294/540F/h/gallery_81869978.avif,4.0,
