property_id;reference;status;type;localisation;prix;prix_type;surface_m2;agence;telephone;description;url;image_url;date_scraping
116455;712049;LOCATION;Rdc de Villa;JARDINS DE CARTHAGE;;Prix sur demande;200;CENTURY 21 Invest;+216 50 950 000;L’agence immobilière Century 21 INVEST vous propose pour la location un appartement en S+4 aux Jardins de Carthage. Typologie : S+4 Superficie : 200 m² Il se compose de : – Un...;https://century21.tn/property/a-louer-rdc-de-villa-s4-jardins-de-carthage/;https://logis.fra1.digitaloceanspaces.com/4/Properties/146427/conversions/Lmi5Mg5MfHyMtdkS-thumb.jpg?c=1;14/02/2026 15:30
116964;645430-2;LOCATION;Immeuble;LES BERGES DU LAC 3;;Prix sur demande;4000;CENTURY 21 Invest;+216 50 950 000;L’agence Century 21 Invest vous propose pour la location un Immeuble R+2 au lac 3. Superficie total : 4000m² Places de parkings sont disponibles au sous-sol Climatisation et chauffage centrales Pour plus...;https://century21.tn/property/a-louer-immeuble-r2-de-4000m%c2%b2-au-lac-3/;https://logis.fra1.digitaloceanspaces.com/4/Properties/107297/conversions/PgpNSEiNu4f63Phr-thumb.jpg?c=1;14/02/2026 15:30
117031;338677;LOCATION;Appartement;EL MENZAH 7;;Prix sur demande;90;CENTURY 21 Horizon;+216 99483349;L’agence immobilière Century 21 vous propos a la location un appartement S+2 avec terrasse situé a el Menzah 7 Bis il se compose: -Salon avec terrasse -Deux chambres a coucher -Une cuisine...;https://century21.tn/property/a-louer-appartement-s2-el-menzah-7-2/;https://logis.fra1.digitaloceanspaces.com/13/Properties/147236/conversions/ACJpR857tTxwyGLH-thumb.jpg?c=1;14/02/2026 15:30
116873;262804;VENTE;Villa;EL MENZAH 6;;Prix sur demande;380;CENTURY 21 Alliance;+216 29 221 222;L’agence immobilière Century 21 Alliance vous propose à la vente une villa d’environ 380m² sur un terrain de 680m², située à El Menzah6. Entourée d’un jardin de quatre cotés. * Composition: Rez-de-chaussée...;https://century21.tn/property/a-vendre-villa-s3-el-menzah-6/;https://logis.fra1.digitaloceanspaces.com/16/Properties/146784/conversions/yUVPb1vWyyzpf3qg-thumb.jpg?c=1;14/02/2026 15:30
112159;680960;VENTE;Villa;EL MENZAH 9;;Prix sur demande;1000;CENTURY 21 Alliance;+216 29 221 222;L’agence immobilière Century 21 Alliance vous propose à la vente une propriété de prestige, inspirée de l’architecture néo-classique. Édifiée sur un terrain de 1200 m2 de superficie. * Description Espaces de vie...;https://century21.tn/property/a-vendre-villa-de-maitre-situee-a-el-menzah-9/;https://logis.fra1.digitaloceanspaces.com/16/Properties/138438/conversions/t07itf3ELqZycgAf-thumb.jpg?c=1;14/02/2026 15:30
117019;914426;VENTE;Appartement;CHOTRANA 1;;Prix sur demande;286;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 Infinity vous propose à la location un appartement S+3 à Chotrana 1 *Emplacement: Chotrana 1 *Typologie: S+3 *Superficie: 286 m² *État: vide Il est composé de: -Un salon,...;https://century21.tn/property/a-vendre-appartement-s3-chotrana-1-3/;https://logis.fra1.digitaloceanspaces.com/7/Properties/144116/conversions/cnviqZY3qib0QlYh-thumb.jpg?c=1;14/02/2026 15:30
117000;114122;LOCATION;Appartement;LES BERGES DU LAC 2;;Prix sur demande;110;CENTURY 21 Barros;+216 26 055 000;CENTURY 21 BARROS Barros LAC 2 vous propose pour la location un appartement en s+2 au lac 2 -Un salon -Une cuisine équipée -Deux suites parentale -Une salle d’eau -Une place parking...;https://century21.tn/property/a-louer-appartement-s2-les-berges-du-lac-2-4/;https://logis.fra1.digitaloceanspaces.com/6/Properties/147195/conversions/0ZnDRIltCoPpCDDe-thumb.jpg?c=1;14/02/2026 15:30
116991;385987-4;LOCATION MEUBLÉ;Appartement;LES BERGES DU LAC 2;;Prix sur demande;79;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 Infinity vous propose à la location un appartement S+1 aux lac 2 *Emplacement: Lac 2 *Typologie: S+1 *Superficie: 79 m² *État: Meublé Il est composé de: -Un salon,...;https://century21.tn/property/a-louer-appartement-s1-meuble-les-berges-du-lac-2-17/;https://logis.fra1.digitaloceanspaces.com/7/Properties/67841/conversions/XDbsT3OCZZmoLDld-thumb.jpg?c=1;14/02/2026 15:30
116980;450675;LOCATION;Appartement;JARDINS DE CARTHAGE;;Prix sur demande;180;CENTURY 21 Invest;+216 50 950 000;L’agence immobilière Century 21 Invest vous propose pour la location un appartement S+4 vide aux Jardins de Carthage . Typologie : S+4 Il se compose de : – Un salon/salle à manger....;https://century21.tn/property/a-louer-appartement-s4-aux-jardins-de-carthage-2/;https://logis.fra1.digitaloceanspaces.com/4/Properties/135992/conversions/SkxcKIAV0b8H0c9P-thumb.jpg?c=1;14/02/2026 15:30
105325;86228;LOCATION;Duplex;GAMMARTH SUP;;Prix sur demande;285;CENTURY 21 Infinity;+216 25 794 794;L’agence immobilière Century 21 Infinity vous propose à la location un Duplex S+3 suites avec chambre de service et piscine à Gammarth *Emplacement: Gammarth Supérieur *Typologie: S+4 *État: vide Il est composé...;https://century21.tn/property/a-louer-triplex-s4-gammarth-sup/;https://logis.fra1.digitaloceanspaces.com/7/Properties/130335/conversions/fWUf86XMUS3svHg2-thumb.jpg?c=1;14/02/2026 15:31
