property_id;titre;type;localisation;prix;surface_m2;nombre_pieces;nombre_chambres;salles_bain;url;image_url;date_scraping
86744206;TERRAIN A VENDRE COTE SOUSSE MALL;TERRAIN;KALAA EL KEBIRA;950 000;6000;;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86744206;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/45296c37afd58a8c9b5ad4578caf55f3.webp;14/02/2026 12:11
86743854;vente local commercial à Sousse Boujaafar;LOCAL COMMERCIAL;SOUSSE CORNICHE;600 000;165;;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86743854;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/4a2349e131458f4b3d8b1bdd382e3ed6.webp;14/02/2026 12:11
86741297;Appartement 54m² Meublé Hammamet Centre - Investissement Rentable;APPARTEMENT;HAMMAMET;183 958;43;2;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86741297;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/bd5cd4cd34093f8fa51f90b0ed67fc2a.webp;14/02/2026 12:11
86741294;Appartement Neuf S+2 Hammamet - 2 Chambres - Livraison 2026;APPARTEMENT;HAMMAMET;232 368;58;3;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86741294;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/2b8957a071115a508d86caf0e67d663c.webp;14/02/2026 12:11
86741200;Local Commercial 100m² Coin de Rue Hammamet Centre - Fonds Inclus;LOCAL ET FONDS DE COMMERCE;HAMMAMET;494 400;100;3;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86741200;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/b8bd462c326956cbe7fd2c43fdc97527.webp;14/02/2026 12:11
86738570;vente Local à Hammam Sousse;LOCAL;HAMMAM SOUSSE;280 000;330;;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86738570;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/a52da8b75dff79a344d0a082b61a08db.webp;14/02/2026 12:11
86738427;Vente Usine à Hammam Sousse;USINE;HAMMAM SOUSSE;1 850 000;1500;;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86738427;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/00603c47403f92183955705bd98a6a8a.webp;14/02/2026 12:11
86738386;À vendre : Terrain constructible de 170 m² à Akouda;TERRAIN CONSTRUCTIBLE;AKOUDA;93 500;170;;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86738386;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/82f906b64b176662d78b5524c57d295c.webp;14/02/2026 12:11
86736679;IMMEUBLE RAPPORT 5 LOTS - Angle Rue Principale - Vue Mer - Rendement 5,9%;ENSEMBLE IMMOBILIER;HAMMAMET;1 156 100;205;12;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86736679;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/b8bd462c326956cbe7fd2c43fdc97527.webp;14/02/2026 12:11
86736253;vente villa indépendante inachevé à Kalaa Kbira;VILLA;KALAA EL KEBIRA;430 000;212;5;2;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86736253;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/5683c3b6d862c1a559ca461f5c8025d7.webp;14/02/2026 12:11
86731160;HANGAR INDUSTRIEL 10 000 M² - BEN AROUS - TERRAIN 30 000 M² - INVESTISSEMENT;USINE;BEN AROUS;13 390 000;10000;;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86731160;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/219b19dc1ebb8d3a375bd6848b48e8c7.webp;14/02/2026 12:11
86730980;🏗️ TERRAIN EXCEPTIONNEL 1108m² - 3 FAÇADES - BOUHSINA SOUSSE;TERRAIN;SOUSSE;1 236 000;1108;;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86730980;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/461edbd6a14ccb40c857ea2a84bf2bd3.webp;14/02/2026 12:11
86730821;Terrain stratégique GP1 - Double accès Route Principale & Autoroute - Sidi Bou Ali;TERRAIN AGRICOLE;SIDI BOU ALI;619 236;3340;;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86730821;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/9f772d76f551e77e830b767e75763af3.webp;14/02/2026 12:11
86730814;vente appartement S+3 à Sahloul 2;APPARTEMENT;SAHLOUL;320 000;103;4;1;1;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86730814;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/7a1825fa258cf6dd13512941081e9897.webp;14/02/2026 12:11
86730667;EXCLUSIVITÉ - Terrain 12 934 m² - Sidi Hcine - Promotion Immobilière - Titre Foncier;TERRAIN RÉSIDENTIEL;SIDI HASSINE;5 595 248;12934;;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86730667;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/82cf2c269d1aa5c4024a9eecba4506d7.webp;14/02/2026 12:11
86722562;Vente immeuble R+3 à Sousse Trocadéro;IMMEUBLE;SOUSSE;420 000;61;;1;1;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86722562;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/2251f5cef8a10e970b77225fe41858a9.webp;14/02/2026 12:11
86708725;À Vendre : Charmante Villa à hammam sousse avec 2 appartemnets, Sousse – Opportunité Résidentielle et d’Investissement;VILLA;HAMMAM SOUSSE;1 650 000;620;15;;;https://www.homeintunisia.com/fr/propri%C3%A9t%C3%A9/86708725;https://d36vnx92dgl2c5.cloudfront.net/prod/Zenia/2829/media/fb799952d144f14a7bd912cbd954fb75.webp;14/02/2026 12:11
